N	4gram	Medvedev_F_1	Freidism
1	в то же время	8	4
2	бы то ни было	1	2
3	но в то же	2	2
4	и не может быть	2	2
5	в зависимости от того	1	2
6	последовательно и до конца	1	1
7	на самом же деле	1	1
8	в ее целом а	1	1
9	во что бы то	2	1
10	только с точки зрения	1	1
11	и пр и пр	2	1
12	теперь с точки зрения	1	1
13	не имеющие отношения к	1	1
14	что бы то ни	2	1
15	в первый период развития	1	1
16	бы то ни стало	2	1
17	художественной формы и ее	1	1
18	не может быть и	1	1
19	в свою очередь является	2	1
20	сводится к тому чтобы	1	1
21	нет и не может	2	1
22	что в данном случае	1	1
23	в гораздо большей степени	1	1
