N	2gram	Bakhtin_fo_2	Russkaja
1	не может	2	22
2	и не	9	19
3	в том	10	17
4	в этом	22	17
5	и в	46	14
6	с другом	4	14
7	друг с	4	14
8	то что	7	13
9	то же	8	11
10	точки зрения	10	11
11	таким образом	3	11
12	в то	5	10
13	же время	4	10
14	но и	9	10
15	в себе	4	9
16	не только	11	9
17	том что	4	9
18	с точки	8	9
19	может быть	7	9
20	во всяком	2	9
21	того чтобы	8	8
22	прежде всего	14	8
23	как на	2	8
24	самом деле	1	7
25	отнюдь не	4	7
26	и с	6	7
27	в данном	2	7
28	к тому	3	7
29	о том	4	7
30	если в	2	6
31	в своем	5	6
32	и к	2	6
33	с тем	2	6
34	если бы	1	6
35	все это	6	6
36	и для	9	6
37	для того	8	6
38	что он	3	6
39	для всех	1	6
40	для него	3	6
41	на самом	1	6
42	вопрос о	1	5
43	и на	7	5
44	между собой	1	5
45	во всех	11	5
46	в нем	5	5
47	при этом	6	5
48	он не	5	5
49	было бы	2	5
50	в своей	1	5
51	никогда не	6	5
52	потому что	8	5
53	между тем	1	5
54	и только	2	5
55	только в	11	5
56	конечно не	4	5
57	или иной	2	5
58	до сих	2	5
59	себя и	3	5
60	по существу	5	5
61	сих пор	2	5
62	а в	3	5
63	жизни в	4	5
64	и то	1	4
65	но не	5	4
66	себе и	1	4
67	себя в	1	4
68	все же	6	4
69	не в	9	4
70	в этой	2	4
71	в корне	2	4
72	на земле	2	4
73	быть самим	1	4
74	в совершенно	3	4
75	его в	6	4
76	как и	8	4
77	которой он	2	4
78	в их	3	4
79	точку зрения	1	4
80	во всем	1	4
81	не могут	1	4
82	когда они	1	4
83	в мире	4	4
84	и т.д	1	4
85	в его	8	4
86	так как	6	4
87	вместе с	9	4
88	как бы	10	4
89	к вопросу	3	4
90	жизни и	8	4
91	что в	5	4
92	все что	2	4
93	и т	14	3
94	сил и	1	3
95	то в	2	3
96	говорить о	2	3
97	в будущем	1	3
98	и ни	1	3
99	еще не	6	3
100	он сам	1	3
101	из этих	4	3
102	что они	4	3
103	в самом	1	3
104	был и	1	3
105	и по	3	3
106	в другом	3	3
107	лишь в	2	3
108	о которых	1	3
109	несмотря на	1	3
110	должно быть	5	3
111	всех этих	7	3
112	одна из	1	3
113	мира от	1	3
114	связи с	8	3
115	той или	1	3
116	приходит к	1	3
117	что все	2	3
118	данном случае	1	3
119	сводится к	1	3
120	может не	1	3
121	но мы	1	3
122	в значительной	1	3
123	вопросу о	4	3
124	и во	6	3
125	борьбе с	2	3
126	что и	3	3
127	а следовательно	3	3
128	того что	3	3
129	находят себе	1	3
130	в качестве	3	3
131	с нею	1	3
132	в большинстве	3	3
133	в виде	1	3
134	из них	8	3
135	в конце	2	3
136	тем что	3	3
137	именно в	2	3
138	не было	3	3
139	и потому	2	3
140	да и	1	3
141	этом случае	2	3
142	конце концов	1	3
143	и как	3	3
144	все они	3	3
145	себя как	1	2
146	говоря о	1	2
147	и есть	2	2
148	должна быть	1	2
149	видеть в	1	2
150	мировоззрения в	1	2
151	полное и	1	2
152	в ней	1	2
153	в таком	1	2
154	время в	1	2
155	взгляде на	1	2
156	именно на	1	2
157	друг от	2	2
158	всю эту	2	2
159	с этим	5	2
160	целый ряд	3	2
161	и наконец	6	2
162	к культуре	1	2
163	но в	10	2
164	не можем	1	2
165	это есть	1	2
166	все эти	5	2
167	это учение	1	2
168	и тот	1	2
169	другом случае	1	2
170	и те	1	2
171	по самому	1	2
172	и вот	2	2
173	чтобы в	1	2
174	мы уже	9	2
175	на этой	1	2
176	по себе	2	2
177	и тем	1	2
178	стремления к	1	2
179	участие в	1	2
180	в единое	1	2
181	и тогда	1	2
182	нисколько не	1	2
183	народа и	1	2
184	в этих	3	2
185	во время	10	2
186	могут не	1	2
187	в котором	4	2
188	место в	4	2
189	другом и	1	2
190	друг другу	2	2
191	и более	2	2
192	их в	4	2
193	том же	4	2
194	бы нас	2	2
195	тому что	1	2
196	она не	2	2
197	только для	2	2
198	ясностью и	1	2
199	в таких	1	2
200	у него	9	2
201	следовательно и	3	2
202	больше чем	1	2
203	самому своему	1	2
204	людей и	2	2
205	и является	1	2
206	к себе	4	2
207	если же	1	2
208	для себя	1	2
209	и о	2	2
210	от друга	2	2
211	значительной мере	1	2
212	культуры и	1	2
213	с самим	1	2
214	в борьбе	3	2
215	в порядке	1	2
216	и должно	2	2
217	и что	1	2
218	вся эта	1	2
219	быть и	2	2
220	совершенно не	1	2
221	проявляется в	1	2
222	бы ни	1	2
223	их не	2	2
224	по этому	1	2
225	так что	4	2
226	уже не	3	2
227	является не	1	2
228	ни в	1	2
229	мы можем	1	2
230	только с	1	2
231	и вместе	1	2
232	и даже	3	2
233	в некоторых	2	2
234	у других	1	2
235	а не	4	2
236	большинстве случаев	3	2
237	в частности	5	2
238	так же	2	2
239	их к	1	2
240	отношения к	4	2
241	есть и	4	2
242	благодаря этому	1	2
243	однако они	1	2
244	но это	2	2
245	если не	2	2
246	и от	2	2
247	всем этим	1	2
248	в результате	1	2
249	в настоящее	1	2
250	чтобы понять	1	2
251	с ним	4	2
252	ее в	3	2
253	и действительно	1	1
254	должен быть	1	1
255	того же	3	1
256	связи между	2	1
257	тех же	1	1
258	это и	1	1
259	идет о	1	1
260	ту же	2	1
261	права и	1	1
262	свое место	1	1
263	к созданию	1	1
264	особенно часто	1	1
265	также и	4	1
266	их и	1	1
267	есть не	1	1
268	людей от	1	1
269	на тех	1	1
270	всему этому	1	1
271	надо было	1	1
272	мы не	1	1
273	на место	1	1
274	на эти	1	1
275	он как	1	1
276	в сущности	2	1
277	в полной	1	1
278	они были	2	1
279	при переходе	1	1
280	формы в	1	1
281	все виды	1	1
282	без всякого	2	1
283	чем больше	1	1
284	разумеется не	1	1
285	столько же	2	1
286	он был	2	1
287	не был	2	1
288	жизни данного	1	1
289	зрения все	1	1
290	и вопрос	1	1
291	ее к	2	1
292	к этому	3	1
293	но как	1	1
294	точка зрения	3	1
295	пищи и	2	1
296	значение и	4	1
297	данного человека	1	1
298	в общем	1	1
299	существом своим	1	1
300	для борьбы	1	1
301	в истории	4	1
302	первый взгляд	1	1
303	что во	1	1
304	в одной	2	1
305	каждая из	1	1
306	сам а	1	1
307	в полном	1	1
308	когда он	1	1
309	что по	1	1
310	не являются	1	1
311	всем существом	1	1
312	для которой	1	1
313	силе и	1	1
314	свой истинный	1	1
315	от этого	2	1
316	тон и	2	1
317	не быть	2	1
318	в которой	1	1
319	ни один	1	1
320	ставить в	1	1
321	бы не	1	1
322	выражение в	1	1
323	то и	1	1
324	же этого	1	1
325	им в	1	1
326	только один	2	1
327	вследствие этого	1	1
328	к участию	1	1
329	он всегда	1	1
330	вообще не	1	1
331	на его	1	1
332	не могла	2	1
333	они в	1	1
334	же это	1	1
335	эту культуру	1	1
336	войти в	1	1
337	зрения таких	1	1
338	никому не	1	1
339	так например	1	1
340	но все	1	1
341	здесь мы	3	1
342	для всей	1	1
343	тем же	2	1
344	единое целое	1	1
345	об этом	1	1
346	и никакого	1	1
347	всего необходимо	1	1
348	это вдруг	1	1
349	то есть	10	1
350	в будущее	1	1
351	и иерархических	1	1
352	это не	2	1
353	нечего и	1	1
354	чаще всего	1	1
355	остановиться на	1	1
356	есть истинная	1	1
357	и рядом	2	1
358	этого слова	1	1
359	все равно	1	1
360	и следовало	1	1
361	со своими	2	1
362	для чего	2	1
363	жизни но	2	1
364	становится и	1	1
365	нет и	3	1
366	еще одну	1	1
367	такой же	1	1
368	в один	1	1
369	и того	1	1
370	в царстве	2	1
371	одного и	1	1
372	на первый	3	1
373	с господствующей	1	1
374	переносится в	1	1
375	бы на	1	1
376	отчасти в	1	1
377	нас может	1	1
378	не столько	1	1
379	представление о	2	1
380	в которых	3	1
381	он весь	1	1
382	для всякого	1	1
383	с данным	1	1
384	стало быть	1	1
385	своему существу	1	1
386	ко всему	1	1
387	превратиться в	1	1
388	и эти	1	1
389	ним в	1	1
390	вовсе не	13	1
391	они сами	2	1
392	представители этого	1	1
393	ему как	1	1
394	или что	1	1
395	самого начала	1	1
396	и всегда	2	1
397	и проч	1	1
398	дело в	1	1
399	на него	1	1
400	не по	1	1
401	в основе	6	1
402	но только	1	1
403	себе самом	1	1
404	это же	1	1
405	того и	1	1
406	преимущественно в	1	1
407	в разных	1	1
408	и весь	2	1
409	более что	2	1
410	удельного веса	1	1
411	особое значение	2	1
412	и сама	1	1
413	участию в	1	1
414	дело сводится	1	1
415	этом отношении	2	1
416	что на	3	1
417	в духе	2	1
418	могут быть	2	1
419	сказать только	1	1
420	похож на	2	1
421	человека в	6	1
422	для этих	1	1
423	как только	1	1
424	же самое	3	1
425	должны быть	1	1
426	всего в	3	1
427	наконец что	1	1
428	и это	2	1
429	как мы	6	1
430	с ее	1	1
431	как не	1	1
432	свою очередь	1	1
433	но при	1	1
434	и говорить	1	1
435	будет ибо	1	1
436	и физически	1	1
437	всего этого	1	1
438	в ее	1	1
439	в себя	2	1
440	с самого	1	1
441	ряду с	1	1
442	это для	1	1
443	роль в	3	1
444	на шее	1	1
445	так и	7	1
446	не за	1	1
447	те же	6	1
448	его жизни	4	1
449	других и	1	1
450	по сравнению	1	1
451	мы в	1	1
452	в эпоху	4	1
453	из одного	1	1
454	другом месте	2	1
455	то они	1	1
456	эта точка	1	1
457	никак не	1	1
458	можно сказать	2	1
459	в различных	1	1
460	с другой	2	1
461	борьба с	3	1
462	представления о	1	1
463	у всех	2	1
464	совершенно ином	1	1
465	наконец и	2	1
466	по своей	1	1
467	один из	2	1
468	и дело	1	1
469	зрения в	1	1
470	в разные	1	1
471	совершенно иные	1	1
472	нею в	1	1
473	самом и	1	1
474	в турции	2	1
475	частные письма	1	1
476	тот или	1	1
477	и у	5	1
478	борьбы с	1	1
479	на свое	1	1
480	а это	1	1
481	же у	1	1
482	здесь же	1	1
483	веры и	1	1
484	и других	2	1
485	и их	4	1
486	в прошлом	3	1
487	жизни конечно	3	1
488	не для	2	1
489	к ним	2	1
490	это значило	1	1
491	бытия и	1	1
492	другом в	1	1
493	все такие	1	1
494	в любви	1	1
495	в очень	1	1
496	связан с	1	1
497	за ними	4	1
498	влияние на	2	1
499	на ее	1	1
500	говорить и	1	1
501	и прежде	3	1
502	еще и	1	1
503	души и	1	1
504	что не	1	1
505	а на	2	1
506	на этот	1	1
507	которых мы	1	1
508	а за	1	1
509	до конца	2	1
510	ничем не	1	1
511	не на	3	1
512	человеческой жизни	4	1
513	для человека	1	1
514	этот принцип	1	1
515	в связи	8	1
516	в руках	1	1
517	следовало бы	1	1
518	в самой	2	1
519	как это	2	1
520	они стремятся	1	1
521	совершенно чуждые	1	1
522	выражением его	1	1
523	этих случаях	1	1
524	по своему	2	1
525	которые являются	1	1
526	только чтобы	1	1
527	в тот	1	1
528	человек с	1	1
529	в состоянии	1	1
530	и большинство	1	1
531	с некоторым	1	1
532	с этой	4	1
533	своей жизни	2	1
534	между прочим	1	1
535	числе и	2	1
536	с большой	2	1
537	не является	3	1
538	не истинной	1	1
539	и ярко	1	1
540	это как	1	1
541	которая в	1	1
542	в отдельных	1	1
543	любви и	1	1
544	ее и	2	1
545	но когда	1	1
546	бы в	1	1
547	тем более	3	1
548	его жизнь	1	1
549	и все	6	1
550	хотя в	1	1
551	к самому	1	1
552	от ее	1	1
553	в свою	1	1
554	и культуру	1	1
555	от гибели	1	1
556	для создания	1	1
557	том числе	3	1
558	они не	1	1
