N	2gram	Berdyaev_M_1	VLabPisa
1	в этом	20	26
2	и в	28	25
3	и т	1	24
4	не только	29	22
5	может быть	30	21
6	хотя бы	3	20
7	и не	11	19
8	не может	28	17
9	т е	2	17
10	в его	9	15
11	в том	6	13
12	прежде всего	10	13
13	в частности	1	12
14	все это	6	12
15	в силу	1	11
16	л толстой	2	11
17	не могут	5	10
18	о том	2	10
19	что в	10	9
20	об этом	1	9
21	для него	11	9
22	т п	1	9
23	но и	25	9
24	и др	1	9
25	к этому	2	9
26	в своем	10	8
27	все эти	2	8
28	могут быть	2	8
29	во всех	1	7
30	по отношению	2	7
31	он пишет	1	7
32	было бы	10	7
33	как и	5	7
34	том что	3	7
35	творчества в	1	7
36	произведения и	1	7
37	говорит о	1	7
38	не было	18	7
39	а не	25	7
40	вместе с	6	7
41	отношению к	2	7
42	это и	4	6
43	в зависимости	1	6
44	художественном творчестве	1	6
45	в себе	7	6
46	в нем	13	6
47	это не	5	6
48	л толстого	3	6
49	и его	9	6
50	в то	2	6
51	творческих сил	1	6
52	так и	1	6
53	между тем	1	6
54	бы и	3	6
55	у него	17	6
56	то что	5	6
57	одним из	2	5
58	и есть	14	5
59	в их	4	5
60	зависимости от	1	5
61	как говорит	1	5
62	все же	2	5
63	в пределах	1	5
64	в плане	1	5
65	не в	16	5
66	приводит к	2	5
67	он же	1	5
68	вот наконец	1	5
69	один из	4	5
70	действующих лиц	1	5
71	для художника	1	5
72	как бы	2	5
73	сказать что	2	5
74	только в	6	5
75	в искусстве	1	5
76	с его	3	4
77	в этой	6	4
78	когда он	3	4
79	в самом	11	4
80	них не	1	4
81	в них	4	4
82	в философии	1	4
83	никогда не	14	4
84	к тому	3	4
85	должен быть	2	4
86	в ее	3	4
87	в творческой	1	4
88	что он	10	4
89	в нашей	1	4
90	рассказывает о	1	4
91	в одном	1	4
92	в своей	15	4
93	человека и	14	3
94	сил и	1	3
95	в котором	8	3
96	его не	3	3
97	имеет свою	1	3
98	и он	12	3
99	в которых	4	3
100	нет и	5	3
101	что они	1	3
102	с этим	3	3
103	своем творчестве	2	3
104	и как	2	3
105	и к	2	3
106	в противоположность	1	3
107	что без	2	3
108	всех этих	1	3
109	и по	4	3
110	удивительно что	1	3
111	его в	3	3
112	что не	1	3
113	с тем	9	3
114	во время	1	3
115	точки зрения	4	3
116	и ее	1	3
117	в дневнике	2	3
118	у нас	5	3
119	она не	4	3
120	и трудно	1	3
121	в виду	2	3
122	в значительной	1	3
123	что и	4	3
124	в явлении	1	3
125	и мир	2	3
126	того что	7	3
127	этот вопрос	1	3
128	и их	3	3
129	даже и	2	3
130	момент в	2	3
131	в конце	7	3
132	попал в	1	3
133	в творчестве	10	3
134	так же	1	3
135	пишет в	1	3
136	и от	2	3
137	бы в	2	3
138	действительной жизни	1	3
139	процесса как	1	3
140	жизни и	2	3
141	смысле слова	4	2
142	ту же	1	2
143	также что	1	2
144	также и	2	2
145	чтобы не	2	2
146	и через	1	2
147	связана с	2	2
148	и этот	4	2
149	а как	2	2
150	мы имеем	1	2
151	в которой	6	2
152	то это	1	2
153	в ней	15	2
154	еще не	1	2
155	свои произведения	1	2
156	бы не	2	2
157	но не	8	2
158	если в	1	2
159	и достоевский	12	2
160	относится к	2	2
161	но в	7	2
162	с нею	1	2
163	идей в	1	2
164	он в	2	2
165	ее как	1	2
166	как он	2	2
167	этот процесс	3	2
168	что она	1	2
169	после этого	1	2
170	он не	24	2
171	человека в	13	2
172	я бы	2	2
173	в каждом	1	2
174	они должны	1	2
175	говорил что	1	2
176	заключается в	1	2
177	льва толстого	1	2
178	своего творческого	1	2
179	в жизни	3	2
180	достоевского и	10	2
181	он и	2	2
182	и для	2	2
183	что такое	1	2
184	русских писателей	3	2
185	всяком случае	1	2
186	не столько	1	2
187	от его	2	2
188	для многих	1	2
189	если бы	2	2
190	как от	1	2
191	реальная действительность	1	2
192	это особенно	2	2
193	творчестве он	1	2
194	не менее	1	2
195	к этим	2	2
196	того чтобы	2	2
197	не вполне	1	2
198	в области	1	2
199	от того	1	2
200	нет ни	1	2
201	и заключается	1	2
202	отличается от	2	2
203	в самых	1	2
204	для того	2	2
205	на это	1	2
206	его художественного	1	2
207	роль в	1	2
208	в образе	1	2
209	он сам	6	2
210	и даже	1	2
211	бы еще	1	2
212	во всяком	1	2
213	но к	1	2
214	лишь в	6	2
215	может не	2	2
216	из себя	1	2
217	от них	1	2
218	во всей	1	2
219	вообще и	1	2
220	конце концов	2	2
221	значит что	4	2
222	о его	1	2
223	и быть	1	2
224	образа в	1	2
225	одной из	1	2
226	достоевский о	1	2
227	чего бы	1	2
228	ни с	4	2
229	вовсе не	1	2
230	к ним	1	2
231	до сих	2	2
232	как у	1	2
233	о чем	2	2
234	в материальной	1	2
235	показывает как	2	2
236	что мы	1	2
237	было в	1	2
238	нет никаких	2	2
239	и потому	10	2
240	в течение	1	2
