N	2gram	Medvedev_I_1	Istorich
1	и в	1	22
2	в этом	2	17
3	что в	2	15
4	и не	2	12
5	с другой	1	7
6	другой стороны	1	7
7	ничего не	2	6
8	если бы	1	6
9	в них	1	6
10	то и	1	6
11	а в	1	6
12	он не	2	5
13	того что	1	5
14	все эти	1	4
15	и с	3	4
16	тем что	1	4
17	свою жену	1	3
18	я не	1	3
19	следующим образом	1	3
20	в целом	1	3
21	никогда не	1	3
22	а если	1	3
23	по отношению	1	2
24	и и	1	2
25	нее и	1	2
26	так и	1	2
27	как только	1	2
28	и о	1	2
29	когда его	1	2
30	о ней	1	2
31	а также	1	2
32	к отцу	1	2
33	после смерти	1	2
34	есть только	1	2
35	и др	1	2
36	первая жена	1	2
37	не дает	1	2
38	отношению к	1	2
39	жизни и	1	2
40	бы что	2	1
41	ходить в	1	1
42	то она	1	1
43	со всеми	1	1
44	более чем	1	1
45	это был	1	1
46	какую роль	1	1
47	в первую	1	1
48	от нее	1	1
49	в эту	1	1
50	художественного творчества	1	1
51	теперь я	1	1
52	и очень	1	1
53	вплоть до	1	1
54	так то	1	1
55	и тот	1	1
56	что при	1	1
57	к нам	1	1
58	и сам	1	1
59	и та	1	1
60	попал к	1	1
61	неудивительно что	1	1
62	могло бы	1	1
63	стороны он	1	1
64	только для	1	1
65	оба они	2	1
66	все это	1	1
67	та и	1	1
68	но когда	1	1
69	бы его	1	1
