N	2gram	Medvedev_I_1	Problemy
1	из подполья	1	35
2	и в	1	35
3	и не	2	27
4	в этом	2	14
5	для него	1	14
6	все это	1	14
7	он не	2	13
8	и с	3	12
9	я не	1	8
10	так и	1	8
11	и сам	1	7
12	а в	1	7
13	отношению к	1	7
14	по отношению	1	6
15	он с	1	6
16	что в	2	6
17	в них	1	4
18	в эту	1	4
19	никогда не	1	4
20	и без	1	4
21	тем что	1	4
22	с другой	1	4
23	бы в	1	4
24	говорить о	1	3
25	и со	1	3
26	для других	1	3
27	в целом	1	3
28	все эти	1	3
29	ничего не	2	3
30	записок из	2	3
31	того что	1	3
32	со всеми	1	3
33	а с	1	3
34	только что	1	3
35	другой стороны	1	3
36	бы его	1	3
37	это было	1	2
38	есть только	1	2
39	и та	1	2
40	ибо и	1	2
41	себя в	1	2
42	эпизод с	1	2
43	не случайно	1	2
44	ненависть к	1	2
45	несут и	1	2
46	жизни этого	1	1
47	жил в	1	1
48	и ничего	1	1
49	того же	1	1
50	тех же	1	1
51	достоевского а	2	1
52	введение в	1	1
53	них не	1	1
54	его личности	1	1
55	федор павлович	1	1
56	этим и	1	1
57	нисколько не	1	1
58	же это	1	1
59	смердякова и	1	1
60	и очень	1	1
61	на котором	1	1
62	в основе	1	1
63	творчества достоевского	2	1
64	того чтобы	1	1
65	доказать что	1	1
66	для того	1	1
67	с голядкиным	1	1
68	во многом	1	1
69	если бы	1	1
70	самого достоевского	1	1
71	в значительной	1	1
72	без этого	1	1
73	точно и	1	1
74	то и	1	1
75	еще одной	1	1
76	достоевского с	1	1
77	самого себя	2	1
78	только для	1	1
