N	3gram	Medvedev_S_1	Myshleni
1	в том что	2	15
2	с одной стороны	1	8
3	по отношению к	2	7
4	то же самое	1	3
5	во всяком случае	1	3
6	друг от друга	1	3
7	на первый план	1	2
8	то же время	1	2
9	по существу дела	1	2
10	а с другой	1	2
11	благодаря тому что	1	2
12	в то же	1	2
13	и в то	1	1
14	только то что	1	1
15	то что в	1	1
16	в любой области	1	1
17	по крайней мере	1	1
18	в этой области	1	1
19	в конце концов	2	1
20	между тем именно	1	1
21	и в этом	1	1
22	в результате его	1	1
23	в конечном счете	1	1
24	сама по себе	1	1
