1	в то же время	2	3
2	следует упускать из виду	1	1
3	в тех случаях когда	1	1
4	одно и то же	1	1
5	упускать из виду что	1	1
6	к тому или иному	1	1
7	в недискурсивных формах внутренней	1	1
8	следует сказать и о	1	1
9	имеем дело не с	1	1
10	мы имеем дело не	1	1
11	не следует упускать из	1	1
12	состоит в том что	4	1
13	в том или ином	2	1
14	того что здесь именуется	1	1
15	внимание на то что	1	1
16	заключается в том что	1	1
17	самое следует сказать и	1	1
18	как уже было сказано	1	1
19	с той или иной	2	1
20	лишь в тех случаях	1	1
21	подобно тому как мы	1	1
22	одни и те же	1	1
23	свидетельствует о том что	1	1
24	мира вокруг я героя	1	1
25	в целом ряде произведений	1	1
26	том что случилось однажды	1	1
27	субъекта объекта и адресата	2	1
28	одним и тем же	1	1
29	мы имеем дело с	1	1
30	недискурсивных формах внутренней речи	1	1
