N	3gram	Ircho_Kome_2	Narrotol
1	не только в	1	6
2	в том что	5	5
3	к тому же	10	5
4	в соответствии с	1	4
5	то же время	3	4
6	той или иной	1	4
7	в то же	3	4
8	не может быть	1	4
9	на себя внимание	5	3
10	по отношению к	3	3
11	обращает на себя	5	3
12	для того чтобы	4	3
13	в первом случае	1	3
14	тем не менее	1	3
15	речь идет о	2	3
16	о том что	4	2
17	мы имеем дело	1	2
18	в самом деле	1	2
19	так и не	1	2
20	что у нее	1	2
21	до сих пор	2	2
22	в отличие от	2	2
23	но и в	1	2
24	имеем дело с	1	2
25	в связи с	3	2
26	во всяком случае	2	2
27	в свою очередь	1	2
28	ни о чем	1	1
29	только потому что	2	1
30	и столь же	3	1
31	более или менее	1	1
32	в том числе	3	1
33	в ответ на	2	1
34	с другой стороны	1	1
35	с точки зрения	1	1
36	и еще более	1	1
37	как это было	1	1
38	том случае если	1	1
39	и в то	1	1
40	в той же	2	1
41	бы то ни	2	1
42	действующих лиц сюжетной	1	1
43	том что именно	1	1
44	но и здесь	1	1
45	точно так же	1	1
46	как будто он	1	1
47	одна из них	1	1
48	в том случае	1	1
49	себя внимание что	1	1
50	в этой связи	1	1
51	едва ли не	5	1
52	той же мере	1	1
53	в самом начале	2	1
54	то ни было	2	1
55	с одной стороны	2	1
56	то хотя бы	1	1
57	в частности в	2	1
58	друг с другом	2	1
59	потому что в	1	1
60	всю свою жизнь	1	1
61	в поле зрения	2	1
62	в нем не	2	1
63	и та же	1	1
64	одна и та	1	1
65	что у него	2	1
66	связи с этим	1	1
67	до нас в	1	1
68	то что не	1	1
69	само по себе	1	1
70	к этому времени	2	1
71	на протяжении всего	1	1
72	и в самом	1	1
73	но в этом	1	1
74	том числе и	1	1
75	но все же	1	1
76	друг от друга	1	1
77	к тому что	2	1
78	этих двух наиболее	1	1
79	на этот раз	4	1
80	как мы видели	1	1
