N	3gram	Propp_Russ_1	Tvorches
1	в том что	15	6
2	о том что	4	5
3	том что в	6	2
4	на самом деле	1	2
5	и та же	1	2
6	и т п	1	2
7	точно так же	1	2
8	в данном случае	1	2
9	не только в	1	2
10	можно сказать что	1	2
11	там же с	1	2
12	тем не менее	3	2
13	что иное как	2	1
14	хотя и не	1	1
15	еще далеко не	1	1
16	между прочим в	1	1
17	и того же	1	1
18	и наконец в	1	1
19	в настоящее время	3	1
20	как это имеет	2	1
21	дело не только	1	1
22	он и здесь	1	1
23	может быть назван	1	1
24	по отношению к	1	1
25	и в других	4	1
26	в отличие от	1	1
27	далеко не так	1	1
28	на самом же	1	1
29	вместе с тем	6	1
30	некоторые из них	1	1
31	подробнее об этом	1	1
32	н г чернышевский	1	1
33	летопись и в	1	1
34	это имеет место	2	1
35	и как бы	1	1
36	это та же	1	1
37	не только для	1	1
38	в связи с	4	1
39	это не значит	2	1
40	одна и та	1	1
41	самом же деле	1	1
42	объясняется тем что	1	1
43	бросается в глаза	1	1
44	не означает что	1	1
45	в свою очередь	2	1
46	один из самых	1	1
47	одного и того	1	1
48	собой не что	1	1
49	имеет тот же	1	1
50	но это не	2	1
51	не значит что	2	1
52	не что иное	2	1
53	к тому что	4	1
54	как и в	1	1
55	и т д	9	1
