N	2gram	Tiupa_Hudo_1	Russkaja
1	не может	7	22
2	и не	2	19
3	в том	12	17
4	в этом	11	17
5	и в	14	14
6	с другом	1	14
7	друг с	1	14
8	то что	8	13
9	то же	9	11
10	точки зрения	5	11
11	в то	8	10
12	же время	8	10
13	но и	5	10
14	в себе	11	9
15	не только	12	9
16	том что	16	9
17	с точки	3	9
18	может быть	5	9
19	церкви и	1	9
20	во всяком	1	9
21	того чтобы	3	8
22	прежде всего	11	8
23	самом деле	5	7
24	отнюдь не	3	7
25	и с	4	7
26	в данном	1	7
27	к тому	7	7
28	о том	12	7
29	мы должны	1	7
30	ни к	2	7
31	если в	2	6
32	в своем	4	6
33	и к	4	6
34	с тем	1	6
35	в своих	3	6
36	признать что	1	6
37	если бы	3	6
38	все это	2	6
39	и для	3	6
40	что он	9	6
41	всяком случае	1	6
42	для него	10	6
43	на самом	2	6
44	а между	1	5
45	вопрос о	2	5
46	и на	3	5
47	во всех	1	5
48	на то	4	5
49	в нем	3	5
50	при этом	12	5
51	он не	4	5
52	он должен	1	5
53	было бы	6	5
54	в своей	10	5
55	никогда не	6	5
56	потому что	5	5
57	между тем	8	5
58	и только	1	5
59	только в	5	5
60	хотя бы	1	5
61	до сих	2	5
62	себя и	2	5
63	из которых	1	5
64	сих пор	2	5
65	а в	7	5
66	жизни в	6	5
67	и то	1	4
68	но не	3	4
69	себе и	2	4
70	себя в	4	4
71	все же	3	4
72	более или	1	4
73	не в	7	4
74	в этой	8	4
75	на земле	1	4
76	тому чтобы	1	4
77	то ни	1	4
78	том случае	1	4
79	его в	3	4
80	как и	9	4
81	которой он	1	4
82	или менее	1	4
83	в их	2	4
84	точку зрения	1	4
85	не могут	1	4
86	приводит к	3	4
87	в мире	3	4
88	можно было	5	4
89	и т.д	1	4
90	путь к	1	4
91	в его	8	4
92	так как	1	4
93	со стороны	3	4
94	он будет	1	4
95	что же	2	4
96	как бы	7	4
97	жизни и	5	4
98	что в	6	4
99	к этой	3	4
100	все что	1	4
101	и т	11	3
102	то в	4	3
103	и этот	1	3
104	говорить о	3	3
105	еще не	7	3
106	он сам	1	3
107	из этих	1	3
108	что они	1	3
109	в самом	4	3
110	ни одна	1	3
111	главным образом	1	3
112	на том	2	3
113	был и	1	3
114	и по	3	3
115	в другом	2	3
116	лишь в	3	3
117	для них	1	3
118	несмотря на	4	3
119	должно быть	2	3
120	русская интеллигенция	1	3
121	всех этих	1	3
122	таким же	1	3
123	знаем что	1	3
124	том чтобы	1	3
125	одна из	2	3
126	связи с	4	3
127	что оно	1	3
128	приходит к	1	3
129	что все	1	3
130	данном случае	1	3
131	сводится к	1	3
132	может не	1	3
133	при котором	2	3
134	но мы	1	3
135	в значительной	2	3
136	что бы	1	3
137	в лучшем	1	3
138	того что	4	3
139	одной из	2	3
140	в качестве	9	3
141	из них	4	3
142	в конце	4	3
143	себя от	1	3
144	друг друга	5	3
145	тем что	3	3
146	именно в	7	3
147	что для	1	3
148	не было	4	3
149	и потому	2	3
150	в положении	1	3
151	да и	2	3
152	культуры в	1	3
153	о котором	2	3
154	конце концов	1	3
155	и как	1	3
156	из этого	1	3
157	случае если	1	3
158	речь идет	3	2
159	говоря о	2	2
160	видеть в	1	2
161	к чему	1	2
162	но она	1	2
163	в ней	4	2
164	в таком	3	2
165	время в	1	2
166	взгляде на	1	2
167	именно на	1	2
168	по отношению	8	2
169	тогда как	7	2
170	друг от	1	2
171	с этим	3	2
172	но в	5	2
173	их общей	1	2
174	все эти	3	2
175	и тот	1	2
176	во многих	1	2
177	культуре и	1	2
178	состоит в	2	2
179	и вот	1	2
180	чтобы в	1	2
181	мы уже	4	2
182	по сторонам	2	2
183	на этой	1	2
184	того или	2	2
185	в глазах	6	2
186	по себе	2	2
187	и тем	1	2
188	участие в	2	2
189	одному из	1	2
190	этого не	1	2
191	нисколько не	1	2
192	в этих	5	2
193	место в	1	2
194	в силу	1	2
195	другом и	1	2
196	друг другу	1	2
197	и более	1	2
198	их в	1	2
199	не тем	1	2
200	том и	1	2
201	для нее	2	2
202	тому что	4	2
203	она не	4	2
204	только для	2	2
205	каждого отдельного	2	2
206	для нас	1	2
207	у него	9	2
208	в противоречие	1	2
209	как будто	4	2
210	к себе	5	2
211	если же	1	2
212	для себя	3	2
213	и о	4	2
214	от друга	1	2
215	за то	1	2
216	ясно что	2	2
217	даже не	1	2
218	и что	2	2
219	от него	3	2
220	это в	3	2
221	согласиться с	2	2
222	их не	1	2
223	так что	2	2
224	уже не	7	2
225	только на	2	2
226	в начале	2	2
227	является не	1	2
228	но совершенно	1	2
229	его и	1	2
230	представить себе	1	2
231	ни в	5	2
232	не о	2	2
233	при отсутствии	1	2
234	к той	1	2
235	и даже	3	2
236	а с	2	2
237	а не	12	2
238	себя на	1	2
239	в частности	5	2
240	противоречие с	1	2
241	или иного	2	2
242	но это	1	2
243	но для	1	2
244	и от	4	2
245	в результате	2	2
246	с ним	4	2
247	на это	1	2
248	и состоит	1	2
249	пути к	1	2
250	тем самым	1	2
251	на случай	1	1
252	из церкви	1	1
253	в сфере	1	1
254	бы именно	1	1
255	личности для	1	1
