N	4gram	Vinokur_Vv_1	Dialekti
1	не что иное как	4	6
2	и т д и	1	6
3	есть не что иное	2	3
4	одно и то же	1	2
5	и тем не менее	3	2
6	с этой точки зрения	1	2
7	не говоря уже о	1	2
8	уже о том что	1	1
9	с одной стороны и	3	1
10	в то же время	5	1
11	т д таким образом	1	1
12	одной и той же	2	1
13	и т д при	1	1
14	бы то ни было	1	1
15	говоря уже о том	1	1
16	и т д словом	1	1
17	мы имеем в виду	1	1
18	что иное как именно	1	1
19	в том что в	1	1
20	в связи с этим	1	1
21	т д словом все	1	1
22	и т д таким	1	1
23	как на нечто целое	1	1
24	и за ее пределами	1	1
