1	в то же	3	5
2	то же время	4	5
3	и в частности	2	2
4	бросается в глаза	1	2
5	и как бы	1	2
6	но все же	1	2
7	в том что	6	2
8	точно так же	1	2
9	в данном случае	2	2
10	о том что	4	2
11	может быть в	3	1
12	и не может	1	1
13	к тому что	1	1
14	с самого начала	2	1
15	в братьях карамазовых	1	1
16	за то что	1	1
17	и не быть	1	1
18	не могут быть	2	1
19	и то что	1	1
20	по сравнению с	1	1
21	и т п	2	1
22	но при этом	1	1
23	бы и не	1	1
24	на всю ее	1	1
25	и что же?	1	1
26	это не просто	1	1
27	в связи с	4	1
28	том что он	1	1
29	и в этом	1	1
30	должно быть по	1	1
31	у достоевского в	1	1
32	что это значит?	1	1
33	не только о	1	1
34	сам по себе	3	1
35	во всяком случае	2	1
36	несмотря на всю	1	1
37	не может быть	3	1
38	в каких терминах	1	1
39	несмотря на все	1	1
40	в обоих случаях	1	1
41	и должно быть	2	1
42	это может быть	1	1
43	что с г	1	1
44	тем не менее	2	1
45	мы отнюдь не	1	1
46	в самом деле	3	1
47	в таком виде	1	1
48	и вместе с	1	1
49	в конце концов	1	1
50	в виду не	1	1
51	в голову что	1	1
52	это и есть	1	1
53	что он с	1	1
54	как и все	2	1
55	и при этом	1	1
56	все же не	1	1
