N	3gram	Kanaev_Sov_1	Myshleni
1	в том что	1	17
2	с помощью которых	2	7
3	в отличие от	2	6
4	так же как	1	6
5	с самого начала	3	6
6	в зависимости от	4	5
7	можно было бы	1	5
8	с одной стороны	1	5
9	тот факт что	1	5
10	в связи с	1	5
11	тем не менее	2	5
12	друг с другом	2	5
13	во всяком случае	2	4
14	это значит что	1	4
15	сами по себе	1	3
16	этой стадии развития	1	3
17	мы видели что	3	3
18	и той же	1	2
19	по отношению к	1	2
20	в этом смысле	1	2
21	и в этом	1	2
22	и благодаря этому	1	2
23	совершенно так же	1	2
24	заключает в себе	1	2
25	на этой стадии	1	2
26	все же в	1	2
27	в этой стадии	1	2
28	в известном смысле	1	2
29	не может быть	4	2
30	с помощью которой	1	2
31	в свою очередь	2	2
32	помощью которых он	1	2
33	той или иной	1	2
34	одной и той	1	2
35	таким образом ясно	1	1
36	что иное как	1	1
37	на которых по	1	1
38	то же самое	2	1
39	влечет за собой	1	1
40	в этом случае	1	1
41	с точки зрения	5	1
42	в дальнейшем мы	1	1
43	до сих пор	1	1
44	тот или иной	1	1
45	представление о том	1	1
46	в том предмете	1	1
47	бы то ни	1	1
48	является ли оно	1	1
49	и речи мы	1	1
50	по аналогии с	1	1
51	что дело идет	1	1
52	так как он	2	1
53	не подлежит никакому	1	1
54	со всеми его	1	1
55	в процессе развития	1	1
56	не что иное	1	1
57	в этой области	1	1
58	в данном случае	1	1
59	никакому сомнению что	1	1
60	все эти три	1	1
61	то ни было	1	1
62	подлежит никакому сомнению	1	1
63	мы не знаем	1	1
64	на этот раз	1	1
65	не могут быть	1	1
66	всяком случае не	1	1
67	все более и	1	1
68	возникновения и развития	1	1
69	в целом при	1	1
70	при этом с	1	1
71	есть не что	1	1
72	раз и навсегда	1	1
73	но тем не	1	1
74	мы не можем	6	1
75	должен быть поставлен	1	1
76	и что следовательно	1	1
77	все равно будет	1	1
78	самый вопрос о	2	1
79	более и более	1	1
80	к одному и	1	1
81	образом ясно что	1	1
82	которая не может	1	1
83	но все эти	1	1
84	но мы уже	1	1
85	и у нас	1	1
86	и к другому	1	1
