N	3gram	Bakhtin_sl_2	KFilosof
1	по отношению к	4	21
2	не может быть	15	11
3	с точки зрения	3	10
4	в его целом	1	9
5	единого и единственного	1	8
6	может быть только	1	6
7	в чем не	2	4
8	ни в чем	2	4
9	между тем как	1	3
10	того или иного	1	3
11	единый и единственный	2	3
12	в то же	4	2
13	во всем его	1	2
14	в этом его	1	2
15	в том что	4	2
16	и ни в	1	2
17	то же время	4	2
18	той или иной	5	2
19	а не в	1	2
20	во всех этих	1	2
21	тем не менее	1	2
22	бы и не	1	2
23	лишь при условии	1	1
24	мы не можем	1	1
25	не для того	1	1
26	жизни в его	1	1
27	себе а именно	1	1
28	его целом с	1	1
29	но все это	1	1
30	во всех его	2	1
31	включает в себя	2	1
32	в большинстве случаев	5	1
33	для него самого	1	1
34	всего этого не	1	1
35	по себе а	1	1
36	ибо все это	1	1
37	и не в	1	1
38	а следовательно и	1	1
39	чем не укорененное	1	1
40	и в то	1	1
41	но в то	3	1
42	с человеком как	1	1
43	именно там где	1	1
44	но может быть	1	1
45	по самому своему	1	1
46	тем или иным	1	1
47	всех этих случаях	1	1
48	может быть и	2	1
49	для того чтобы	2	1
50	он живет и	1	1
51	в нем его	1	1
52	на то что	1	1
53	в другом случае	1	1
54	хотя бы только	1	1
55	то прежде всего	1	1
56	это и не	1	1
57	в средние века	1	1
58	как к таковому	1	1
59	в нем для	1	1
60	людей и их	1	1
61	но в этом	1	1
62	хотя бы и	2	1
63	влечет за собой	1	1
64	до конца и	1	1
65	в значительной степени	6	1
66	во всяком случае	2	1
67	и может быть	1	1
68	свой смысл и	1	1
69	в нем в	3	1
70	уже не только	1	1
71	не менее в	1	1
72	и все остальные	1	1
73	с ним и	1	1
74	конечно не в	1	1
75	в лучшем случае	1	1
76	действительность при этом	1	1
77	до конца в	1	1
78	со всех сторон	1	1
79	самого по себе	1	1
80	в зависимости от	4	1
81	рядом с собой	1	1
82	в нем нет	1	1
83	она может быть	1	1
84	даже там где	1	1
85	и в нем	1	1
86	в нем не	1	1
87	лежащий в основе	1	1
88	но прежде всего	2	1
89	никогда не может	2	1
90	не может не	1	1
91	это не значит	1	1
92	связанная с ним	1	1
93	в свою очередь	2	1
94	и иных разновидностей	1	1
95	мы говорим о	1	1
96	время от времени	1	1
97	отношении к нему	1	1
