1	в то же	5	9
2	то же время	5	9
3	в том числе	4	4
4	после того как	1	4
5	прежде всего в	1	4
6	в средние века	1	4
7	в конце концов	1	4
8	то есть в	4	4
9	как мы видим	1	3
10	так и в	1	3
11	с точки зрения	9	3
12	в том что	2	3
13	но в то	2	3
14	хвала и брань	1	3
15	дело в том	2	2
16	таким образом и	1	2
17	в значительной степени	1	2
18	можно было бы	2	2
19	имеем в виду	3	2
20	а следовательно и	2	2
21	мы имеем в	3	2
22	мы в свое	1	2
23	том числе и	3	2
24	более или менее	3	2
25	в большинстве случаев	8	2
26	в свое время	2	2
27	как и в	3	2
28	по отношению к	5	2
29	хвалы и брани	1	2
30	речь эта как	1	1
31	и в сущности	2	1
32	но и в	2	1
33	в различных формах	1	1
34	мы находим в	2	1
35	о том что	2	1
36	друг за другом	1	1
37	с самого начала	1	1
38	средние века и	1	1
39	эти явления в	1	1
40	на этот вопрос	2	1
41	мысли и слова	1	1
42	приведенном нами отрывке	2	1
43	не был чужд	1	1
44	в той форме	1	1
45	в первой книге	1	1
46	тем путем что	1	1
47	мы увидим что	2	1
48	непосредственно переходит в	1	1
49	и еще один	1	1
50	в каждой детали	1	1
51	так как его	1	1
52	низ лицо зад	1	1
53	как мы сказали	3	1
54	в связи с	1	1
55	и в словах	2	1
56	поэтому и вся	1	1
57	же характер носит	1	1
58	в мировой литературе	1	1
59	в эпоху возрождения	1	1
60	в данном случае	1	1
61	то есть для	1	1
62	у него в	1	1
63	со смертью и	1	1
64	является одним из	1	1
65	иногда бывает трудно	1	1
66	пространстве и времени	1	1
67	в одной плоскости	2	1
68	на самом же	1	1
69	не только в	1	1
70	самом же деле	1	1
71	в одном из	2	1
72	одного поколения к	1	1
73	и несколько рационалистично	1	1
74	более того мы	1	1
75	сам по себе	3	1
76	во всяком случае	1	1
77	слово о нем	1	1
78	но только в	1	1
79	существенное влияние на	1	1
80	в первых двух	1	1
81	к тому же	1	1
82	ведь это не	1	1
83	не в этом	1	1
84	мы уже сказали	2	1
85	как мы уже	2	1
86	в этом смысле	2	1
87	поколения к другому	1	1
88	в известной мере	1	1
89	к другому поколению	1	1
90	по своей природе	2	1
91	перехода из одного	1	1
92	как бы еще	1	1
93	неразрывно связано с	1	1
94	слияние хвалы и	1	1
95	есть прежде всего	1	1
96	верх низ лицо	1	1
97	пространства и времени	1	1
98	такой же характер	1	1
99	друг от друга	1	1
100	в том или	1	1
101	характерно что и	1	1
102	мы не знаем	1	1
103	выходит за пределы	1	1
104	и т.п в	1	1
105	свое время уже	1	1
106	мы уже указывали	1	1
107	пространство и время	1	1
108	в этом романе	2	1
109	здесь ничего не	1	1
110	до некоторой степени	1	1
111	от одного поколения	1	1
112	что в нем	1	1
113	мы остановимся на	1	1
114	в том же	1	1
115	как и все	4	1
116	со всеми ее	1	1
117	с ним как	1	1
118	в той же	1	1
119	и не в	2	1
120	они как бы	1	1
