N	3gram	Berdyaev_N_1	Istorich
1	с другой стороны	2	8
2	с одной стороны	2	7
3	вместе с тем	2	6
4	о том что	1	4
5	так же как	2	3
6	не может быть	4	3
7	же как и	1	2
8	он не может	2	2
9	до сих пор	1	2
10	в свою противоположность	1	2
11	наряду с этим	1	2
12	в том чтобы	1	2
13	не только в	1	2
14	и вместе с	1	2
15	но и в	1	2
16	это значит что	1	2
17	в том что	1	2
18	как и в	1	2
19	я думаю что	1	1
20	большую роль в	2	1
21	но это уже	1	1
22	а не в	1	1
23	в том числе	1	1
24	играют большую роль	1	1
25	не имеют никакого	1	1
26	в зависимости от	1	1
27	в отличие от	1	1
28	есть и другая	1	1
29	но наряду с	1	1
30	том числе и	1	1
31	совершенно так же	1	1
32	то время как	1	1
33	том смысле в	1	1
34	не в том	1	1
35	и потому что	1	1
36	смысле в каком	1	1
37	то что он	1	1
38	во всяком случае	1	1
39	в истории не	1	1
40	все эти формы	2	1
41	в то время	1	1
42	в социальной жизни	1	1
43	это тем что	1	1
44	вопрос о том	2	1
45	подобно тому как	3	1
46	быть отнесены к	1	1
47	в том смысле	1	1
48	должен быть признан	1	1
