N	3gram	Ircho_Kome_1	Myshleni
1	для того чтобы	1	18
2	в том что	9	13
3	так же как	1	7
4	с самого начала	1	7
5	к тому что	1	6
6	по отношению к	3	5
7	то же самое	2	5
8	в данном случае	1	5
9	с одной стороны	3	5
10	этой точки зрения	1	4
11	с этой точки	1	4
12	вместе с тем	1	4
13	о том что	3	4
14	на то что	2	4
15	состоит в том	1	3
16	до сих пор	2	3
17	в этом отношении	3	3
18	в самом начале	1	3
19	смысле этого слова	1	3
20	тем не менее	1	3
21	но и не	1	3
22	как и в	2	3
23	как мы видели	1	3
24	и в конце	1	2
25	том что в	1	2
26	том что он	4	2
27	представление о том	1	2
28	в той же	1	2
29	в отличие от	1	2
30	в большинстве случаев	1	2
31	в этот период	1	2
32	то время как	4	2
33	едва ли не	3	2
34	же как и	1	2
35	сделать вывод что	1	2
36	в то время	5	2
37	том что они	1	2
38	о которых мы	1	2
39	друг от друга	1	2
40	таким образом в	2	2
41	к этому же	1	1
42	что иное как	1	1
43	в обоих случаях	1	1
44	в силу этого	1	1
45	повторяют друг друга	1	1
46	подобно тому как	1	1
47	в том числе	1	1
48	в соответствии с	1	1
49	в том же	1	1
50	следовательно и в	1	1
51	в зависимости от	1	1
52	сам по себе	1	1
53	что он не	1	1
54	в первую очередь	2	1
55	по аналогии с	1	1
56	можно было бы	1	1
57	как мы уже	1	1
58	что все это	1	1
59	в одном случае	1	1
60	хотел сказать и	1	1
61	в этой области	1	1
62	этим объясняется и	1	1
63	не только в	1	1
64	в высшей степени	1	1
65	но при этом	1	1
66	с другой стороны	5	1
67	во всяком случае	2	1
68	что у него	1	1
69	ни у одного	1	1
70	потому что они	1	1
71	и таким образом	2	1
72	по тем же	1	1
73	может и не	1	1
74	что хотел сказать	1	1
75	мы не только	1	1
76	после того как	3	1
77	не что иное	1	1
78	в то же	4	1
79	этого слова с	1	1
80	в конце концов	4	1
