N	3gram	Nazirov_Tv_2	Analitik
1	не может быть	3	16
2	в том что	2	9
3	в то же	7	8
4	в отличие от	2	6
5	то же время	7	6
6	на наш взгляд	2	6
7	той или иной	1	6
8	по отношению к	3	5
9	и не может	2	4
10	в конечном счете	1	4
11	к тому же	1	4
12	о том что	2	3
13	в том числе	1	3
14	того или иного	1	3
15	в таком случае	2	3
16	и т п	2	3
17	нет и не	1	2
18	в самом деле	2	2
19	именно в этом	2	2
20	сами по себе	1	2
21	но в то	1	2
22	не сводится к	1	2
23	романа в целом	1	2
24	не могут быть	1	2
25	с другой стороны	2	2
26	не о том	1	2
27	не должен быть	1	2
28	но прежде всего	2	1
29	и сам автор	1	1
30	автора и не	1	1
31	как уже говорилось	1	1
32	я никогда не	1	1
33	ю м лотман	4	1
34	в соответствии с	4	1
35	о том как	1	1
36	до сих пор	3	1
37	на точку зрения	1	1
38	лишь одна из	1	1
39	том числе и	1	1
40	по крайней мере	2	1
41	то или иное	1	1
42	то есть его	1	1
43	в этой связи	1	1
44	даже если он	1	1
45	в xx веке	1	1
46	в свою очередь	1	1
47	как будто бы	1	1
48	в известном смысле	1	1
49	и должно быть	1	1
50	но в таком	1	1
51	том же году	2	1
52	а с другой	1	1
53	так и не	1	1
54	все же не	2	1
55	не только сцены	1	1
56	во всяком случае	2	1
57	сознания не только	1	1
58	отвечает на вопрос	1	1
59	а тем самым	1	1
60	ю м лотмана	3	1
61	или во всяком	1	1
62	будто бы не	1	1
63	в связи с	1	1
64	но отнюдь не	1	1
65	как и в	1	1
66	в глубине души	1	1
67	не так как	1	1
68	в том же	2	1
69	по возвращении в	1	1
70	таком случае это	1	1
