N	2gram	Vinokur_St_1	Literetu
1	а не	16	20
2	и в	44	19
3	может быть	15	17
4	своего рода	3	13
5	то же	5	12
6	и не	16	11
7	как и	9	10
8	в том	36	10
9	но и	10	10
10	в этом	21	9
11	в то	9	9
12	же время	4	9
13	не может	8	9
14	такого рода	2	9
15	не только	18	8
16	в стихах	1	8
17	и даже	5	8
18	с другой	9	8
19	том что	29	7
20	так и	9	7
21	с одной	3	7
22	я в	1	7
23	то что	18	7
24	и на	1	6
25	в себе	2	6
26	при этом	2	6
27	однако в	1	6
28	не менее	5	6
29	себя в	1	6
30	одной стороны	2	6
31	я не	7	5
32	столь же	4	5
33	но не	3	5
34	он не	2	5
35	одна из	1	5
36	так в	1	5
37	в качестве	4	5
38	у нас	11	5
39	то есть	2	5
40	того что	9	5
41	вместе с	1	5
42	мы не	2	4
43	того же	3	4
44	по отношению	3	4
45	так что	6	4
46	едва ли	1	4
47	для него	6	4
48	точки зрения	11	4
49	не в	12	4
50	даже в	3	4
51	общего дела	1	4
52	в русской	1	4
53	в области	14	4
54	ли не	2	4
55	в ней	3	4
56	еще в	1	4
57	в его	9	4
58	и других	1	4
59	каждый из	1	4
60	тем что	5	4
61	прежде всего	7	4
62	в частности	4	4
63	другой стороны	7	4
64	жизни и	5	4
65	что в	30	4
66	речь идет	4	3
67	и то	5	3
68	идет о	2	3
69	тем же	3	3
70	в сущности	2	3
71	как я	1	3
72	во всех	8	3
73	как правило	2	3
74	как к	3	3
75	право на	1	3
76	в этой	11	3
77	в нем	5	3
78	в глазах	1	3
79	такой же	5	3
80	том чтобы	1	3
81	с точки	8	3
82	тем самым	2	3
83	вплоть до	5	3
84	не столько	1	3
85	никогда не	5	3
86	ничего не	2	3
87	и его	8	3
88	данном случае	6	3
89	русской поэзии	1	3
90	и с	3	3
91	в другом	3	3
92	но с	3	3
93	а в	17	3
94	так как	5	3
95	этом отношении	7	3
96	и др	1	3
97	со стороны	6	3
98	в равной	2	3
99	в данном	14	3
100	а именно	3	3
101	по существу	2	3
102	но это	6	3
103	в культуре	1	3
104	в начале	3	3
105	и для	3	3
106	обращается к	1	3
107	что он	10	3
108	отношению к	3	3
109	как на	1	3
110	и т	30	2
111	же как	3	2
112	и до	1	2
113	и за	3	2
114	поэзии и	1	2
115	той же	5	2
116	это прежде	2	2
117	на себя	1	2
118	из того	2	2
119	к своему	1	2
120	но как	1	2
121	если в	2	2
122	очевидно что	1	2
123	в истории	3	2
124	все же	8	2
125	и к	1	2
126	но в	10	2
127	то в	3	2
128	в целом	5	2
129	в нашем	1	2
130	как он	1	2
131	о которой	3	2
132	и сам	2	2
133	свое время	2	2
134	в каждом	3	2
135	в них	1	2
136	соответствии с	1	2
137	с этой	3	2
138	с тем	1	2
139	как бы	4	2
140	в такой	2	2
141	и без	3	2
142	что я	1	2
143	одном из	1	2
144	что было	1	2
145	тем не	2	2
146	по крайней	2	2
147	из нас	1	2
148	не по	3	2
149	в основе	3	2
150	для кого	1	2
151	но только	1	2
152	уже о	5	2
153	могут быть	5	2
154	даже и	2	2
155	для того	10	2
156	для себя	3	2
157	в виду	1	2
158	говоря уже	1	2
159	не могу	1	2
160	в ее	4	2
161	то как	1	2
162	за то	3	2
163	еще не	3	2
164	для этого	2	2
165	о том	17	2
166	и что	4	2
167	для нас	7	2
168	а также	2	2
169	а потому	2	2
170	и только	3	2
171	крайней мере	2	2
172	не надо	2	2
173	было бы	17	2
174	могло бы	2	2
175	тот же	1	2
176	одной из	1	2
177	в какой	3	2
178	потому что	6	2
179	уже не	1	2
180	уже в	2	2
181	с другим	1	2
182	свидетельствует о	2	2
183	из них	8	2
184	был бы	1	2
185	одно из	2	2
186	не так	1	2
187	ведь это	1	2
188	в одном	1	2
189	т п	9	2
190	в конце	3	2
191	что и	6	2
192	вовсе не	19	2
193	у него	2	2
194	как раз	4	2
195	где в	1	2
196	что не	3	2
197	не было	4	2
198	говорит я	1	2
199	до конца	1	2
200	в руках	1	2
201	в россии	4	2
202	него не	1	2
203	не видит	1	2
204	как это	4	2
205	из которых	1	2
206	а если	2	2
207	это его	1	2
208	быть не	1	2
209	этом случае	2	2
210	не является	3	2
211	в результате	3	2
212	в третьем	1	2
213	хотя бы	6	2
214	не говоря	1	2
215	не знает	2	2
216	в свое	2	2
217	в роли	1	2
218	в своих	2	2
219	том числе	2	2
220	литературы а	1	1
221	даже более	1	1
222	отношения к	2	1
223	так я	1	1
224	многих отношениях	1	1
225	это и	4	1
226	здесь и	1	1
227	сказано что	1	1
228	в первом	2	1
229	если б	1	1
230	исходит из	1	1
231	должна быть	3	1
232	текста как	1	1
233	мы имеем	2	1
234	как мы	1	1
235	не личная	1	1
236	не заметил	1	1
237	равной мере	2	1
238	и разумеется	1	1
239	но даже	1	1
240	широкого и	1	1
241	какого бы	1	1
242	революции в	1	1
243	пребывания в	1	1
244	оказывается что	1	1
245	когда речь	2	1
246	он был	3	1
247	этот текст	1	1
248	за это	1	1
249	бы то	1	1
250	в чем	3	1
251	самом деле	11	1
252	при жизни	1	1
253	б с	1	1
254	за ту	1	1
255	целом ряде	1	1
256	в новом	4	1
257	за пределы	2	1
258	и я	3	1
259	это самое	1	1
260	писателя в	2	1
261	и вовсе	1	1
262	более чем	2	1
263	общего с	3	1
264	как в	13	1
265	стороны и	1	1
266	путь в	1	1
267	есть в	2	1
268	что по	1	1
269	я должен	1	1
270	работает в	1	1
271	это тоже	1	1
272	душой за	1	1
273	писал что	1	1
274	к числу	2	1
275	от этого	2	1
276	в самом	7	1
277	и конечно	1	1
278	себе как	1	1
279	лежит на	1	1
280	в литературном	2	1
281	что это	4	1
282	ни один	2	1
283	все эти	5	1
284	у каждого	1	1
285	не оставляет	1	1
286	во многих	3	1
287	в известном	1	1
288	но он	2	1
289	было видно	1	1
290	и те	2	1
291	на то	4	1
292	в случае	2	1
293	в статье	7	1
294	не проще	1	1
295	но именно	2	1
296	конце концов	1	1
297	всех этих	2	1
298	же это	3	1
299	этой книге	1	1
300	и вот	1	1
301	что ни	2	1
302	и по	5	1
303	без исключения	1	1
304	ни был	1	1
305	например мы	1	1
306	таким образом	7	1
307	то ни	1	1
308	со всеми	2	1
309	бы показаться	1	1
310	его не	1	1
311	а по	1	1
312	на протяжении	1	1
313	его личности	1	1
314	это не	8	1
315	с неба	1	1
316	всю свою	1	1
317	по мысли	1	1
318	должен был	2	1
319	даже по	1	1
320	в повестях	6	1
321	далеко не	1	1
322	всю жизнь	1	1
323	с дороги	1	1
324	и следовало	1	1
325	в слове	5	1
326	эпохи с	1	1
327	и было	1	1
328	иначе говоря	1	1
329	со всей	1	1
330	которую он	1	1
331	в этих	2	1
332	в своей	6	1
333	он должен	2	1
334	знает и	2	1
335	место в	1	1
336	что до	2	1
337	от себя	1	1
338	является в	1	1
339	несомненно что	1	1
340	от условностей	1	1
341	но эта	1	1
342	времени не	4	1
343	предъявлять к	1	1
344	обращение к	1	1
345	не его	1	1
346	их в	2	1
347	что этот	2	1
348	пока в	1	1
349	тому что	3	1
350	в отношении	9	1
351	особую остроту	1	1
352	но они	1	1
353	на работу	1	1
354	текста является	1	1
355	не имеет	4	1
356	того как	1	1
357	и притом	1	1
358	я буду	1	1
359	что ей	1	1
360	а целых	1	1
361	не могло	1	1
362	казалось бы	1	1
363	имеем дело	2	1
364	неприемлемый для	1	1
365	этих двух	3	1
366	явление в	1	1
367	с этих	1	1
368	по своей	2	1
369	не нужен	1	1
370	в сознании	2	1
371	что на	2	1
372	сделать в	1	1
373	как справедливо	1	1
374	именно такой	1	1
375	не станет	1	1
376	которых он	1	1
377	не могут	1	1
378	и вполне	3	1
379	в других	2	1
380	москве с	1	1
381	числе и	2	1
382	к тому	1	1
383	которым в	1	1
384	в наши	1	1
385	ничего общего	3	1
386	и о	1	1
387	того чтобы	11	1
388	на нем	1	1
