N	3gram	Tiupa_Teor_1	Stilisti
1	в то же	5	9
2	то же время	5	7
3	для того чтобы	1	7
4	с точки зрения	3	5
5	того или иного	3	5
6	и то же	1	4
7	то же самое	1	4
8	ту или иную	1	4
9	одно и то	1	4
10	в свою очередь	2	4
11	той или иной	1	4
12	заключает в себе	1	3
13	то или иное	1	3
14	во внутренней речи	1	3
15	внутренней и внешней	2	3
16	и тем самым	2	3
17	ни к чему	1	2
18	и в то	1	2
19	тот или иной	2	2
20	в значительной степени	1	2
21	но в то	1	2
22	на первый взгляд	1	2
23	как бы в	1	2
24	не может быть	4	2
25	есть не что	1	2
26	не что иное	1	2
27	к чему не	1	2
28	о том что	1	2
29	между внутренней и	1	2
30	что иное как	1	2
31	можно сказать что	2	2
32	больше и больше	1	2
33	в связи с	1	2
34	к тому что	2	2
35	тех или иных	3	2
36	все то что	1	2
37	и того же	3	1
38	сознания при этом	1	1
39	не в самом	2	1
40	не является ни	1	1
41	в хх веке	1	1
42	по отношению к	4	1
43	более или менее	2	1
44	что представляет собой	1	1
45	при этом не	1	1
46	и здесь мы	1	1
47	человека с человеком	1	1
48	одном и том	1	1
49	высказывание как это	1	1
50	по крайней мере	1	1
51	и в жизни	1	1
52	в одном и	1	1
53	в большинстве случаев	1	1
54	форма внутренней речи	1	1
55	и том же	1	1
56	точки зрения и	1	1
57	он не будет	1	1
58	своей жизни как	1	1
59	тем не менее	3	1
60	как это ни	1	1
61	по большей части	1	1
62	в нашем случае	2	1
63	иметь в виду	1	1
64	в виду что	1	1
65	заключать в себе	1	1
66	вследствие того что	1	1
67	на вопрос о	1	1
68	содержит в себе	1	1
69	здесь как бы	1	1
70	по ту сторону	1	1
71	между тем в	1	1
72	в конечном счете	6	1
73	не только не	2	1
74	в русской литературе	2	1
75	же время эти	1	1
76	мы имеем в	3	1
77	с другой стороны	5	1
78	одного и того	3	1
79	в своей жизни	1	1
80	та или иная	1	1
81	в том что	8	1
82	именно потому что	1	1
83	как и в	2	1
84	и здесь остается	1	1
