N	3gram	Berdyaev_M_1	VLabPisa
1	и т п	1	9
2	не может быть	17	8
3	по отношению к	2	7
4	в зависимости от	1	5
5	хотя бы и	2	5
6	не было бы	5	4
7	не могут быть	2	4
8	в том что	1	4
9	вместе с тем	5	3
10	в своем творчестве	2	3
11	это и есть	4	3
12	о том что	1	3
13	не может не	2	2
14	до сих пор	2	2
15	можно было бы	1	2
16	и не может	2	2
17	в конце концов	2	2
18	во всех этих	1	2
19	во всяком случае	1	2
20	от того что	1	2
21	но и он	1	2
22	для того чтобы	2	2
23	своей личности в	1	1
24	даже и в	1	1
25	бросается в глаза	1	1
26	и есть то	1	1
27	том смысле что	1	1
28	нет и не	1	1
29	и ту же	1	1
30	то время как	2	1
31	в самом деле	1	1
32	и по отношению	1	1
33	если он не	1	1
34	и он же	1	1
35	романы достоевского и	1	1
36	как и все	1	1
37	л толстой и	2	1
38	человека а не	1	1
39	что он не	2	1
40	но и в	4	1
41	свои творческие силы	1	1
42	неизбежно приходит к	1	1
43	может быть и	1	1
44	есть то что	1	1
45	в свои произведения	1	1
46	не было еще	1	1
47	т е от	1	1
48	и в творчестве	1	1
49	не только в	2	1
50	ни к какому	1	1
51	и не быть	1	1
52	но она не	1	1
53	как будто бы	2	1
54	по сравнению с	1	1
55	не в том	1	1
56	и речи о	1	1
57	а не только	2	1
58	что они не	1	1
59	может быть принята	2	1
60	между этими двумя	1	1
61	имеем в виду	1	1
62	в то время	2	1
63	ставил и разрешал	1	1
64	и вместе с	4	1
65	никогда не может	2	1
66	быть и речи	1	1
67	и никогда не	1	1
68	и достоевский в	1	1
69	может быть выражена	1	1
70	своем творчестве он	1	1
71	может быть свободен	1	1
72	в братьях карамазовых	3	1
73	в том смысле	2	1
74	одну и ту	1	1
75	все это не	1	1
76	толстой и достоевский	3	1
77	не значит что	1	1
78	заключает в себе	3	1
79	не только для	1	1
