N	3gram	Bakhtin_Fr_5	Marksizm
1	с точки зрения	2	13
2	не может быть	2	10
3	по отношению к	1	8
4	то же время	9	8
5	в то же	9	8
6	в связи с	5	7
7	для того чтобы	6	6
8	в том что	6	6
9	в самом деле	1	5
10	то же самое	2	5
11	может быть и	1	5
12	но в то	5	5
13	в свою очередь	1	5
14	в большинстве случаев	2	5
15	и того же	1	4
16	на самом деле	4	4
17	той или иной	1	4
18	одного и того	1	4
19	в той или	1	3
20	самом же деле	1	3
21	как мы сказали	1	3
22	в отличие от	2	3
23	на самом же	1	3
24	до сих пор	3	3
25	и не в	2	3
26	о том что	1	3
27	как мы уже	1	3
28	как мы видели	4	3
29	является не только	1	2
30	быть и речи	1	2
31	ни в коем	1	2
32	оставаясь в пределах	1	2
33	в коем случае	1	2
34	в значительной степени	1	2
35	слова при этом	1	2
36	в следующей главе	1	2
37	и речи о	1	2
38	хотя бы в	2	2
39	и прежде всего	3	2
40	к тому же	2	2
41	как раз того	1	1
42	в другом месте	2	1
43	что иное как	1	1
44	вполне понятно что	1	1
45	почти не имеет	1	1
46	не перестает быть	1	1
47	и связанные с	2	1
48	и кричит ему	1	1
49	но как мы	1	1
50	ровно ничего не	1	1
51	и не нуждаются	1	1
52	дело в том	2	1
53	мы уже сказали	1	1
54	в том числе	4	1
55	том что это	1	1
56	он не может	1	1
57	и последнее слово	1	1
58	к нему не	1	1
59	до известной степени	4	1
60	коем случае нельзя	1	1
61	этом моменте не	1	1
62	раз того что	1	1
63	и землю и	1	1
64	несколько слов об	1	1
65	в этом отношении	5	1
66	независимо от того	1	1
67	одно из важнейших	1	1
68	но он не	1	1
69	том числе и	2	1
70	не подлежит конечно	1	1
71	нет места для	1	1
72	уже говорили что	1	1
73	и на все	1	1
74	мы здесь не	1	1
75	свою связь с	1	1
76	тем не менее	1	1
77	во всех этих	1	1
78	в самой жизни	2	1
79	со всею отчетливостью	1	1
80	или иной форме	1	1
81	мы уже говорили	2	1
82	и в основе	1	1
83	в его целом	1	1
84	мы видели что	1	1
85	внешней и внутренней	1	1
86	оставляют в покое	1	1
87	а в связи	1	1
88	так и в	1	1
89	в конечном счете	1	1
90	то перед нами	1	1
91	не имеет значения	1	1
92	не что иное	1	1
93	можно сказать что	2	1
94	друг от друга	1	1
95	которой мы здесь	1	1
96	о чем мы	1	1
97	конечно не в	1	1
98	друг с другом	2	1
99	как и в	1	1
100	здесь как и	2	1
101	в отрыве от	2	1
102	не нуждается в	2	1
103	одной из форм	1	1
