N	2gram	Bakhtin_Pr_1	DiskursI
1	в себе	4	19
2	при этом	5	17
3	как и	7	16
4	в этом	15	16
5	и в	38	16
6	может быть	26	16
7	и не	42	15
8	а не	5	14
9	то есть	46	12
10	в отличие	5	12
11	отличие от	5	12
12	в частности	2	12
13	но и	9	11
14	в мире	3	11
15	но в	4	11
16	не только	9	10
17	том что	3	10
18	не может	27	9
19	так и	5	9
20	как в	4	8
21	в том	8	8
22	а также	1	8
23	прежде всего	13	7
24	не менее	4	7
25	в нем	15	7
26	но не	12	7
27	в лирике	2	7
28	ни в	11	7
29	в данном	4	7
30	все же	6	6
31	еще не	7	6
32	данном случае	4	6
33	отнюдь не	19	6
34	тем самым	4	6
35	в своей	7	6
36	то же	5	6
37	в своих	2	6
38	с его	2	6
39	себя в	2	6
40	ни к	2	5
41	же время	3	5
42	в противоположность	1	5
43	что в	7	5
44	для него	1	5
45	то что	8	5
46	в противовес	1	5
47	в то	4	5
48	я в	1	5
49	и на	3	5
50	с другой	7	5
51	в своем	5	5
52	отношению к	19	4
53	точки зрения	8	4
54	в одном	1	4
55	к этому	2	4
56	по отношению	21	4
57	к его	2	4
58	мира и	1	4
59	в основе	5	4
60	одной стороны	3	4
61	художественного целого	1	4
62	в этой	1	4
63	с одной	3	4
64	этом отношении	2	4
65	о том	4	4
66	не является	3	4
67	в пределах	6	4
68	человека в	2	4
69	как бы	22	4
70	все эти	5	3
71	жизни а	1	3
72	приводит к	3	3
73	и все	3	3
74	не знает	3	3
75	но она	2	3
76	мире в	1	3
77	в другом	2	3
78	можно сказать	2	3
79	и его	16	3
80	и ее	2	3
81	не было	2	3
82	жизненной позиции	1	3
83	было в	1	3
84	могут быть	5	3
85	той или	2	3
86	здесь в	2	3
87	чего не	1	3
88	прошлым и	1	3
89	его в	9	3
90	жизни и	1	3
91	в строгом	2	3
92	жизни в	1	3
93	и наконец	6	3
94	мире и	1	3
95	субъекта в	1	3
96	это не	5	3
97	в его	43	3
98	например в	3	3
99	не в	7	3
100	в контексте	1	3
101	только в	13	3
102	и может	1	3
103	в них	5	3
104	в котором	2	3
105	в этих	2	3
106	в творчестве	1	3
107	он не	3	3
108	также и	3	3
109	столь же	2	3
110	подход к	1	3
111	уже не	1	3
112	не следует	2	3
113	или иной	2	3
114	из них	1	3
115	и как	8	3
116	но это	3	3
117	с ее	1	2
118	момент в	1	2
119	может и	4	2
120	в полном	1	2
121	а в	6	2
122	и с	17	2
123	в свое	1	2
124	к их	1	2
125	на большую	1	2
126	входит в	8	2
127	говорить о	3	2
128	место в	8	2
129	и для	11	2
130	не к	6	2
131	которая в	1	2
132	личности в	1	2
133	образ человека	1	2
134	должна быть	4	2
135	есть в	1	2
136	все это	3	2
137	человеческой жизни	1	2
138	свое время	1	2
139	в большинстве	5	2
140	как уже	1	2
141	это в	1	2
142	не более	2	2
143	но здесь	3	2
144	именно в	1	2
145	в области	11	2
146	из важнейших	3	2
147	объекта и	7	2
148	вследствие этого	3	2
149	этом в	1	2
150	слова не	3	2
151	стороны и	1	2
152	в принципе	1	2
153	неотделим от	1	2
154	время в	1	2
155	вместе с	1	2
156	отношение к	10	2
157	в себя	2	2
158	произведения как	8	2
159	в той	1	2
160	между тем	7	2
161	к своему	2	2
162	не с	4	2
163	себе самому	1	2
164	с точки	6	2
165	и прежде	5	2
166	не на	5	2
167	дело в	2	2
168	должно быть	5	2
169	никогда не	5	2
170	на почве	3	2
171	к которой	1	2
172	о чем	1	2
173	не о	1	2
174	мы имеем	2	2
175	тому как	1	2
176	совпадает с	2	2
177	на первый	2	2
178	другой стороны	4	2
179	в целом	3	2
180	а к	2	2
181	не нужно	5	2
182	лежит на	1	2
183	что и	2	2
184	в результате	1	2
185	бытия и	1	2
186	далеко не	5	2
187	жизни как	1	2
188	подобно тому	1	2
189	здесь не	4	2
190	не столь	1	2
191	и это	3	2
192	или иного	2	2
193	не подлежит	1	2
194	в ней	4	2
195	что он	2	2
196	идет о	1	2
197	со своим	1	2
198	того и	1	2
199	общих чертах	1	2
200	чем не	2	2
201	основе своей	3	2
202	может иметь	5	2
203	связи и	3	1
204	и оценки	2	1
205	ней в	1	1
206	его от	1	1
207	точек зрения	1	1
208	для всех	1	1
209	образа и	1	1
210	форму и	2	1
211	как слово	1	1
212	может обладать	1	1
213	том какое	1	1
214	в значительной	2	1
215	в в	1	1
216	в форме	4	1
217	о ней	1	1
218	жизненную позицию	1	1
219	вопрос о	1	1
220	в которой	1	1
221	так называемого	1	1
222	аналогии с	1	1
223	на их	1	1
224	для обозначения	1	1
225	ориентация на	1	1
226	мы ничего	1	1
227	бы то	3	1
228	город и	1	1
229	его с	1	1
230	принципиально не	4	1
231	отличается от	2	1
232	случае не	2	1
233	с достаточной	1	1
234	не должно	1	1
235	может получить	1	1
236	мышления и	1	1
237	может служить	1	1
238	в поэзии	9	1
239	себе не	2	1
240	что свойственно	1	1
241	эстетический характер	2	1
242	и со	1	1
243	высказывания в	1	1
244	в равной	2	1
245	как с	1	1
246	его не	2	1
247	большинстве случаев	5	1
248	как такового	3	1
249	акустики и	3	1
250	вовсе не	2	1
251	возможна только	1	1
252	своем творчестве	1	1
253	и оценен	1	1
254	таким образом	10	1
255	где мы	1	1
256	значимости то	1	1
257	и внешним	1	1
258	что является	1	1
259	строго говоря	1	1
260	на материале	3	1
261	в какой	2	1
262	говоря уже	1	1
263	как нечто	3	1
264	и во	2	1
265	всем что	1	1
266	нахожу в	1	1
267	там где	6	1
268	мир на	1	1
269	самом деле	6	1
270	чтобы стать	4	1
271	та или	1	1
272	и здесь	2	1
273	роман и	1	1
274	не вполне	2	1
275	бы не	2	1
276	но с	3	1
277	согласно своей	1	1
278	с миром	4	1
279	где на	2	1
280	можно только	6	1
281	воспринимать как	1	1
282	в некоторых	2	1
283	как это	2	1
284	не были	1	1
285	или иная	1	1
286	человека с	1	1
287	и формирующего	1	1
288	если в	1	1
289	таким путем	1	1
290	во всех	11	1
291	не дает	2	1
292	а между	1	1
293	может представиться	2	1
294	с содержанием	3	1
295	и вне	1	1
296	того или	2	1
297	тем что	2	1
298	более того	4	1
299	тем как	5	1
300	как о	1	1
301	то в	1	1
302	в нашем	4	1
303	однако эта	1	1
304	целого не	1	1
305	движения и	2	1
306	до известной	1	1
307	относя его	1	1
308	сплошь во	1	1
309	в искусстве	12	1
310	им в	1	1
311	при изучении	1	1
312	и собственно	1	1
313	остановимся на	1	1
314	и только	4	1
315	оно не	3	1
316	его как	3	1
317	одной из	3	1
318	иных случаях	3	1
319	с совершенно	2	1
320	этого не	1	1
321	связывается с	1	1
322	равной степени	1	1
323	все то	3	1
324	в готовом	1	1
325	есть не	2	1
326	нахожу себя	1	1
327	действия и	1	1
328	же может	1	1
329	к подобным	1	1
330	с ним	5	1
331	в ее	4	1
332	целое в	1	1
333	не имели	1	1
334	вплоть до	1	1
335	о мире	1	1
336	содержания и	6	1
337	того что	2	1
338	проникает в	2	1
339	между ними	4	1
340	мир в	2	1
341	полагается в	1	1
342	к чему	2	1
343	в таких	2	1
344	или о	1	1
345	от содержания	2	1
346	имеем дело	3	1
347	но если	1	1
348	виду что	1	1
