N	3gram	Vinokur_St_1	Analitik
1	в том что	17	7
2	по отношению к	3	7
3	с другой стороны	6	5
4	о том что	11	5
5	мы имеем дело	1	4
6	по крайней мере	2	4
7	как и в	2	4
8	в данном случае	6	3
9	то же время	4	3
10	в первой строфе	2	3
11	той или иной	1	3
12	в то же	4	3
13	в этом отношении	7	3
14	судя по его	1	2
15	дело в том	4	2
16	том что он	1	2
17	с точки зрения	8	2
18	с одной стороны	2	2
19	тем не менее	2	2
20	тем или иным	3	2
21	во всяком случае	6	2
22	в свое время	2	2
23	а в том	1	2
24	должны были бы	1	1
25	однако и в	1	1
26	в прижизненных изданиях	2	1
27	а между тем	1	1
28	в той или	1	1
29	в пушкинскую эпоху	1	1
30	не говоря уже	1	1
31	на самом деле	6	1
32	в самом деле	5	1
33	в этом смысле	1	1
34	по тем или	1	1
35	в этом случае	2	1
36	и в данном	2	1
37	другое дело когда	1	1
38	до сих пор	7	1
39	говоря уже о	1	1
40	в зависимости от	1	1
41	хотя бы и	2	1
42	что каждая из	1	1
43	что он не	1	1
44	и далее в	1	1
45	каждом отдельном случае	1	1
46	таким образом в	1	1
47	на этот вопрос	1	1
48	ту или иную	1	1
49	как раз в	2	1
50	однако с другой	1	1
51	в том чтобы	1	1
52	не только в	4	1
53	главы евгения онегина	1	1
54	тот факт что	1	1
55	так и в	4	1
56	в применении к	3	1
57	во втором случае	2	1
58	а с другой	1	1
59	имеем дело с	2	1
60	всяком случае не	1	1
61	по этому пути	1	1
62	так или иначе	2	1
63	не в том	2	1
64	но как бы	1	1
65	в повестях по	3	1
66	текста как и	1	1
67	и не могла	1	1
68	для того чтобы	10	1
69	в безударном положении	1	1
70	того или иного	4	1
71	не может быть	5	1
72	но с другой	2	1
73	что в новом	2	1
74	в одном из	1	1
75	как бы ни	1	1
76	вопрос о том	2	1
77	в статье о	2	1
78	мысль о том	1	1
79	каждом из этих	1	1
80	речь идет о	2	1
81	пушкина в этом	1	1
82	с этой стороны	1	1
83	друг от друга	1	1
84	тем более что	2	1
85	заключается в том	3	1
86	в каждом отдельном	1	1
87	но дело в	1	1
88	в каждом из	1	1
89	во многих отношениях	1	1
90	дело не в	2	1
91	а в тех	1	1
92	в отдельных случаях	1	1
93	что и в	4	1
94	обратить внимание на	1	1
95	ведь это не	1	1
