N	3gram	Propp_Isto_1	DiskursI
1	в том что	4	13
2	по отношению к	3	9
3	с одной стороны	4	9
4	о том что	3	5
5	в отличие от	2	4
6	к тому же	1	4
7	не в том	1	3
8	не может быть	7	3
9	с другой стороны	5	3
10	пока еще не	1	3
11	по себе не	1	2
12	мы имеем дело	1	2
13	не говоря уже	1	2
14	и в особенности	1	2
15	подобно тому как	1	2
16	в соответствии с	1	2
17	то же самое	3	2
18	одной стороны и	1	2
19	говоря уже о	1	2
20	сами по себе	1	2
21	в значительной степени	1	2
22	большей или меньшей	2	2
23	а не только	1	2
24	в том чтобы	1	2
25	не только в	1	2
26	едва ли не	1	2
27	более или менее	5	2
28	в этом случае	1	1
29	в чистом виде	2	1
30	о царских детях	2	1
31	в действительности это	1	1
32	никогда не было	1	1
33	не только по	1	1
34	нами не как	1	1
35	прежде всего в	1	1
36	дело в том	3	1
37	в этом смысле	1	1
38	может быть признано	1	1
39	внимание на то	1	1
40	который фигурирует в	1	1
41	о том как	1	1
42	не было и	1	1
43	до сих пор	5	1
44	из них в	1	1
45	имеем дело не	1	1
46	только то что	1	1
47	а по своей	1	1
48	лежат в основе	1	1
49	это приводит к	1	1
50	между собой и	1	1
51	а иногда и	1	1
52	в противном случае	1	1
53	и что это	1	1
54	вместе с тем	2	1
55	как правило в	1	1
56	что во всех	1	1
57	содержит в себе	1	1
58	дело не с	1	1
59	а не событиям	1	1
60	как будто бы	2	1
61	и сказкой здесь	1	1
62	в том случае	1	1
63	в большей или	1	1
64	в связи с	3	1
65	а не как	1	1
66	с большей или	1	1
67	в этом направлении	1	1
68	за тридевять земель	2	1
69	тем или иным	1	1
70	вопросом о том	1	1
71	особое внимание на	1	1
72	до наших дней	1	1
73	того или иного	1	1
74	в этом отношении	1	1
75	так например в	4	1
76	до известной степени	1	1
77	к тому или	1	1
78	с самого начала	2	1
79	легко заметить что	1	1
80	это отнюдь не	1	1
81	при этом он	1	1
82	работа представляет собой	1	1
83	тому или иному	1	1
84	можно рассматривать как	1	1
85	на то что	4	1
86	на этом пути	1	1
87	тех или иных	1	1
88	тем не менее	6	1
89	но все же	3	1
90	дело не в	1	1
91	в большинстве случаев	4	1
