N	3gram	Nazirov_Vr_1	Myslijsy
1	во всяком случае	1	7
2	в том что	2	7
3	в свою очередь	1	6
4	по крайней мере	1	5
5	тем не менее	1	5
6	а между тем	1	4
7	до сих пор	1	4
8	не было бы	1	4
9	в то время	1	4
10	на то что	1	3
11	одно и то	1	2
12	или по крайней	1	2
13	с другой стороны	1	2
14	с первого раза	1	2
15	то же время	4	2
16	не может быть	2	2
17	в этом смысле	1	2
18	в то же	4	2
19	и то же	1	2
20	то что они	1	1
21	в нем самом	1	1
22	о том как	1	1
23	но это не	1	1
24	и не может	1	1
25	во время сна	1	1
26	что для нас	1	1
27	все же не	1	1
28	в связи с	3	1
29	что они не	1	1
30	далеко не все	1	1
31	то что я	1	1
32	ее тем что	1	1
33	о том что	1	1
34	что у него	1	1
35	и в самом	1	1
36	не знали что	1	1
37	мыслей и чувств	1	1
38	и в этом	1	1
39	не только от	1	1
40	еще не знал	1	1
41	ответ на это	1	1
