N	3gram	Tiupa_Narr_1	Analitik
1	не может быть	4	16
2	в том что	5	9
3	в то же	4	8
4	той или иной	4	6
5	то же время	4	6
6	в отличие от	2	6
7	по отношению к	3	5
8	что иное как	1	5
9	времени и пространстве	6	4
10	большей или меньшей	1	4
11	но и не	1	4
12	к тому же	5	4
13	в конечном счете	1	4
14	и не может	1	4
15	с точки зрения	1	4
16	мы имеем дело	2	4
17	о том что	2	3
18	подобно тому как	3	3
19	с одной стороны	1	3
20	в том числе	1	3
21	бы то ни	1	3
22	собственно говоря и	1	3
23	из того что	1	3
24	для того чтобы	3	3
25	имеем дело с	2	3
26	то ни было	1	3
27	в той или	1	3
28	лишь в том	1	3
29	во времени и	6	3
30	состоит в том	2	3
31	в нашем случае	1	3
32	а не в	1	3
33	в принципе не	1	3
34	с легкой руки	1	2
35	какой бы то	1	2
36	исходя из того	1	2
37	с другой стороны	1	2
38	не о том	1	2
39	и того же	1	2
40	в равной степени	2	2
41	одного и того	1	2
42	в этом отношении	3	2
43	в самом деле	2	2
44	то же самое	2	2
45	именно в этом	1	2
46	а в то	1	2
47	но и в	2	2
48	сами по себе	2	2
49	в отрыве от	1	2
50	и все же	2	2
51	не сводится к	2	2
52	в первом случае	3	2
53	в данном случае	8	2
54	ни что иное	1	1
55	принимает на себя	1	1
56	и сами участвуем	1	1
57	и тот же	1	1
58	во всяком случае	2	1
59	художественного целого не	1	1
60	принимают участие в	1	1
61	и тем самым	4	1
62	событие о котором	1	1
63	было не до	1	1
64	однако и до	1	1
65	не было и	2	1
66	сам по себе	1	1
67	разрывом во времени	1	1
68	места времени и	1	1
69	в том случае	1	1
70	переносом в пространстве	1	1
71	в разные времена	1	1
72	друг с другом	1	1
73	не он сам	1	1
74	говорить не приходится	1	1
75	дело не только	1	1
76	иной знаковой системы	1	1
77	обращает на себя	3	1
78	о себе знать	1	1
79	перед нами два	1	1
80	в отечественной традиции	1	1
81	в самом тексте	1	1
82	представляет собой последовательность	1	1
83	в его событийной	1	1
84	как и в	1	1
85	в этом последнем	1	1
86	и то же	2	1
87	еще в году	1	1
88	дело не с	1	1
89	последнего завершающего слова	1	1
90	иного национального языка	1	1
91	времени и действия	1	1
92	представляет собой ни	1	1
93	до сих пор	2	1
94	и до сего	1	1
95	не сами по	1	1
96	или особенно в	1	1
97	может претендовать на	1	1
98	в той же	1	1
99	а с другой	1	1
100	же время они	1	1
101	место лишь в	1	1
102	к тому что	1	1
103	два события событие	1	1
104	один и тот	1	1
105	том случае если	1	1
106	самом деле в	1	1
107	и та же	1	1
108	с той или	1	1
109	и как бы	1	1
110	в большей или	1	1
111	его событийной полноте	1	1
112	оно и не	1	1
113	нами два события	1	1
114	произведение в его	1	1
115	той же мере	1	1
116	по крайней мере	1	1
117	но и самого	1	1
118	как если бы	2	1
119	однако в силу	1	1
120	самого рассказывания в	1	1
121	произведении и событие	1	1
122	о котором рассказано	1	1
123	как известно по	1	1
124	как единого художественного	1	1
125	в этой связи	1	1
126	не все что	1	1
127	более или менее	1	1
128	события событие о	1	1
129	не только в	6	1
130	этом последнем мы	1	1
131	текста но и	1	1
132	на себя внимание	3	1
133	котором рассказано в	1	1
134	в свою очередь	2	1
135	портрет пейзаж интерьер	1	1
136	собой ни что	1	1
137	по этой причине	1	1
138	состоит в сегментировании	1	1
139	в связи с	2	1
140	я в мире	1	1
141	то что мы	1	1
142	в известном смысле	2	1
143	рассказ в рассказе	1	1
144	том что именно	1	1
145	последнем мы и	1	1
146	и в самом	1	1
147	не говоря о	1	1
148	в зависимости от	2	1
149	единого художественного высказывания	1	1
150	присутствия в мире	2	1
151	может быть использован	1	1
152	одна и та	1	1
153	она может быть	1	1
154	случае мы имеем	1	1
155	при условии что	1	1
156	в сущности говоря	1	1
157	говорящего и слушающих	1	1
158	в произведении и	1	1
159	как мы увидим	1	1
160	рассказано в произведении	1	1
161	так и не	2	1
162	сами участвуем как	1	1
163	однако все они	1	1
164	начало и конец	3	1
165	мы и сами	1	1
166	вновь как и	1	1
167	и как будто	1	1
168	участвуем как слушатели-читатели	1	1
169	событие самого рассказывания	2	1
170	в специальном значении	1	1
171	до сего времени	1	1
172	и событие самого	1	1
173	том числе и	1	1
174	в е годы	1	1
175	в искусстве слова	1	1
176	рассказывания в этом	1	1
177	концентрирует внимание на	1	1
178	как и на	1	1
179	было и не	1	1
180	точки зрения в	1	1
181	в соответствии с	4	1
182	во втором случае	1	1
183	может быть использовано	1	1
184	одно и то	2	1
