N	4gram	Bakhtin_Pr_1	DiskursI
1	в то же время	3	3
2	с одной стороны и	1	2
3	не говоря уже о	1	2
4	мы имеем дело с	1	1
5	и не может быть	1	1
6	должны быть отнесены к	1	1
7	той или иной области	1	1
8	не в том что	1	1
9	важнейшим композиционным формам например	1	1
10	только по отношению к	4	1
11	том и в другом	1	1
12	осуществляется определенными композиционными приемами	1	1
13	в том и в	1	1
14	во всех его разновидностях	2	1
15	дело в том что	1	1
16	сами по себе не	1	1
17	архитектоническая форма осуществляется определенными	1	1
18	композиционным формам например жанровым	1	1
19	и в то же	2	1
20	именно в том что	1	1
21	форма осуществляется определенными композиционными	1	1
22	и в том и	1	1
23	в равной мере и	1	1
24	ни к чему не	1	1
25	формам например жанровым соответствуют	1	1
