N	3gram	Vygotskiy__1	VelikijI
1	все что есть	1	3
2	то что я	2	2
3	том что он	1	2
4	и над ними	1	2
5	вместо того чтобы	1	2
6	в вопросе о	1	2
7	в том что	9	2
8	и т д	8	2
9	но прежде всего	1	1
10	другой стороны в	1	1
11	его к жизни	1	1
12	и во всяком	1	1
13	есть прежде всего	1	1
14	т д и	1	1
15	с тем чтобы	1	1
16	в разные эпохи	2	1
17	конечно ни в	1	1
18	вместе с тем	2	1
19	так как она	1	1
20	того что он	1	1
21	вслед за ним	1	1
22	от него в	1	1
23	в конце концов	3	1
24	потому что оно	1	1
25	в известном смысле	1	1
26	и в этом	1	1
27	и не было	1	1
28	не могут быть	1	1
29	он говорит что	1	1
30	на составные части	1	1
31	с другой стороны	5	1
32	как бы в	1	1
33	в нашу эпоху	1	1
34	по сравнению с	1	1
35	д и т	1	1
36	против того что	1	1
37	так и в	2	1
38	и вместе с	1	1
39	мы видим что	2	1
40	как и в	4	1
