N	4gram	Bakhtin_Pr_2	Vvedenie
1	в то же время	3	6
2	в той мере в	1	5
3	той мере в какой	1	5
4	но в то же	3	3
5	дело в том что	1	2
6	одной и той же	1	2
7	по самой своей природе	1	2
8	в той или иной	2	1
9	одного и того же	1	1
10	особое отношение к действительности	1	1
11	мы имеем в виду	2	1
12	в целом ряде других	2	1
13	и в этом смысле	1	1
14	по отношению к нему	1	1
15	можно сказать что в	1	1
16	в этом смысле не	1	1
17	но с другой стороны	1	1
18	в каждом из них	2	1
19	говорить о том что	1	1
20	и со стороны содержания	1	1
21	по крайней мере не	1	1
22	той или иной степени	2	1
23	в большей или меньшей	1	1
24	и не потому что	1	1
25	большей или меньшей степени	1	1
26	и в целом ряде	2	1
