N	2gram	Losev_Vlad_3	Dialekti
1	не есть	10	40
2	и не	25	30
3	по себе	6	25
4	и в	40	18
5	точки зрения	13	17
6	ничего не	5	17
7	может быть	8	17
8	и есть	1	16
9	в нем	3	16
10	ни в	10	15
11	не имеет	4	15
12	так что	14	15
13	потому что	11	14
14	значит что	6	14
15	а не	8	14
16	не только	25	13
17	и даже	6	13
18	то что	28	13
19	что в	17	13
20	в этом	16	12
21	было бы	4	12
22	с точки	6	12
23	если бы	3	12
24	и что	8	12
25	не может	14	12
26	что это	9	11
27	учение о	24	11
28	в себе	9	11
29	что он	5	11
30	так как	7	11
31	как бы	3	11
32	это значит	6	11
33	все это	1	11
34	то же	4	10
35	есть нечто	1	10
36	несмотря на	7	10
37	прежде всего	10	10
38	сказать что	12	10
39	и то	9	9
40	отнюдь не	5	9
41	так и	6	9
42	это не	3	9
43	том что	18	9
44	никогда не	11	9
45	это есть	10	9
46	в том	18	9
47	сама по	1	8
48	ясно что	1	8
49	но это	6	8
50	в каком	4	8
51	к нему	3	8
52	совершенно не	2	8
53	также и	17	7
54	и как	7	7
55	то в	6	7
56	что она	2	7
57	той или	2	7
58	не существует	2	7
59	мы находим	2	7
60	вовсе не	13	7
61	не просто	10	7
62	но и	18	7
63	сам по	2	6
64	нет ровно	2	6
65	его не	1	6
66	хотя бы	6	6
67	в чем	3	6
68	есть ни	1	6
69	не то	1	6
70	но в	4	6
71	с другой	5	6
72	и вот	1	6
73	не в	3	6
74	она не	2	6
75	в то	7	6
76	никак не	4	6
77	можно сказать	1	6
78	ни с	3	6
79	не было	5	6
80	ни на	2	6
81	да и	6	6
82	и ни	2	6
83	науки и	1	5
84	я не	3	5
85	и он	1	5
86	общего с	2	5
87	в своем	8	5
88	все же	4	5
89	себе не	1	5
90	на то	4	5
91	идеи и	2	5
92	мифологии и	1	5
93	и с	9	5
94	и мы	1	5
95	в этих	2	5
96	но если	5	5
97	в отношении	5	5
98	ровно ничего	2	5
99	в виду	3	5
100	есть только	9	5
101	в дальнейшем	4	5
102	можно было	5	5
103	не с	4	5
104	мы должны	4	5
105	он сам	2	5
106	само по	3	5
107	говорит о	4	5
108	она есть	1	5
109	есть и	4	5
110	об отношении	2	5
111	или не	3	5
