N	2gram	Losev_Vlad_2	Otkroven
1	у него	19	22
2	и в	30	19
3	у достоевского	2	19
4	но и	8	13
5	и не	18	13
6	в этом	20	12
7	не в	9	11
8	не только	12	11
9	может быть	7	11
10	а не	7	11
11	в нем	4	10
12	и все	7	10
13	в самой	1	9
14	прежде всего	6	9
15	не было	10	9
16	никогда не	7	9
17	потому что	9	9
18	он был	6	8
19	и он	4	8
20	он всегда	1	7
21	в его	11	7
22	человек не	2	7
23	он не	4	7
24	лишь в	1	7
25	до конца	7	7
26	ни с	2	7
27	нет ничего	3	7
28	но он	3	7
29	от него	1	7
30	как и	5	6
31	все это	5	6
32	отношение к	4	5
33	в том	18	5
34	в самом	2	5
35	в этой	4	5
36	для него	9	5
37	в россии	3	5
38	него в	4	5
39	о его	5	5
40	а в	11	5
41	то что	20	5
42	о боге	1	4
43	он сам	2	4
44	с его	4	4
45	все эти	5	4
46	него и	2	4
47	на земле	2	4
48	что не	2	4
49	не может	9	4
50	того чтобы	2	4
51	и его	6	4
52	что в	12	4
53	только и	3	4
54	и есть	2	3
55	в бесах	1	3
56	быть может	1	3
57	о том	4	3
58	еще не	1	3
59	к нему	2	3
60	жизни все	1	3
61	было бы	9	3
62	того что	5	3
63	когда он	1	3
64	что он	13	3
65	и ее	1	3
66	это за	2	3
67	в себе	6	3
68	человеческого духа	1	3
69	и вот	3	3
70	не могут	1	3
71	для того	2	3
72	это было	4	3
73	что человек	1	3
74	это не	2	3
75	только одно	3	3
76	никто не	1	3
77	мысли и	2	3
78	как бы	5	3
79	с ним	5	3
80	в русской	1	3
81	и от	2	3
82	в этих	4	3
83	хотя бы	3	3
84	в своих	2	3
85	и с	14	2
86	те которые	1	2
87	и то	5	2
88	от самого	1	2
89	так и	5	2
90	его не	2	2
91	и о	4	2
92	по себе	5	2
93	раз уже	1	2
94	и на	4	2
95	природы и	1	2
96	совсем не	4	2
97	не все	1	2
98	что и	3	2
99	частью в	1	2
100	что они	1	2
101	как к	2	2
102	в своем	8	2
103	все же	9	2
104	вопросом о	1	2
105	и к	6	2
106	в этот	1	2
107	не очень	4	2
108	и потому	2	2
109	с богом	3	2
110	должен был	3	2
111	в которой	4	2
