N	3gram	Vinokur_St_2	Stilisti
1	в то же	1	9
2	в зависимости от	1	7
3	то же время	1	7
4	для того чтобы	5	7
5	с точки зрения	2	5
6	и то же	1	4
7	одно и то	1	4
8	в свою очередь	1	4
9	с самого начала	3	4
10	на самом деле	1	3
11	в этом случае	1	3
12	в той же	1	3
13	в конце концов	1	3
14	но все же	2	3
15	как мы видели	1	3
16	тому что у	1	2
17	вместе с тем	5	2
18	что язык не	1	2
19	в этом отношении	9	2
20	и в области	1	2
21	только потому что	2	2
22	в значительной степени	2	2
23	одни и те	1	2
24	и тем же	1	2
25	о том что	11	2
26	и те же	1	2
27	в связи с	1	2
28	к тому что	5	2
29	тем же языком	1	2
30	в другом месте	2	1
31	еще до того	2	1
32	и тому же	1	1
33	бы в этом	1	1
34	одним и тем	1	1
35	по отношению к	1	1
36	более или менее	2	1
37	с их точки	1	1
38	не говоря уже	1	1
39	в ней вполне	1	1
40	их точки зрения	1	1
41	в самом деле	2	1
42	и в особенности	1	1
43	не является ли	1	1
44	свое выражение в	2	1
45	одному из них	1	1
46	должно было быть	1	1
47	до сих пор	5	1
48	если б с	1	1
49	и вообще не	1	1
50	на этот вопрос	1	1
51	для того времени	1	1
52	в наши дни	1	1
53	самого начала был	1	1
54	но нет никакого	1	1
55	и в наши	1	1
56	которой не может	1	1
57	здесь нет и	1	1
58	на все что	1	1
59	значений слов в	1	1
60	и в этом	2	1
61	по сравнению с	1	1
62	тем не менее	2	1
63	по большей части	1	1
64	как и вообще	1	1
65	иметь в виду	3	1
66	но вместе с	1	1
67	в виду что	1	1
68	вследствие того что	1	1
69	на вопрос о	1	1
70	но и вообще	1	1
71	это еще не	1	1
72	таким образом в	1	1
73	и характер его	1	1
74	между тем в	1	1
75	не только не	2	1
76	вопрос о том	3	1
77	до того как	3	1
78	совсем другое дело	1	1
79	с другой стороны	3	1
80	в том что	16	1
81	этот вопрос в	1	1
82	одному и тому	1	1
83	тот факт что	4	1
