N	3gram	Bakhtin_sl_1	Sovremen
1	с точки зрения	8	5
2	в зависимости от	3	4
3	не может быть	1	4
4	не может не	5	3
5	с самого начала	1	3
6	тем не менее	1	2
7	друг с другом	2	2
8	во всяком случае	5	2
9	в отличие от	1	2
10	в свою очередь	2	2
11	с помощью которых	1	2
12	может быть и	1	2
13	может не стать	1	1
14	в известном смысле	2	1
15	и в этом	2	1
16	и не было	1	1
17	которая не может	1	1
18	по крайней мере	1	1
19	не могут быть	2	1
20	сохраняя при этом	1	1
21	одни и те	1	1
22	плоскость в которой	1	1
23	дело в том	1	1
24	равно как и	1	1
25	он может быть	1	1
26	и той же	1	1
27	в свое время	1	1
28	в этом случае	2	1
29	до наших дней	1	1
30	или же просто	1	1
31	в своем основном	1	1
32	до сих пор	2	1
33	и во всех	2	1
34	то же время	12	1
35	и в то	5	1
36	по аналогии с	1	1
37	может иметь место	1	1
38	нечто совсем иное	1	1
39	бы то ни	1	1
40	мы не знаем	1	1
41	может находиться в	1	1
42	и те же	1	1
43	можно было бы	2	1
44	и не может	2	1
45	той или иной	9	1
46	и прежде всего	1	1
47	и ничего не	1	1
48	может быть только	2	1
49	в то же	12	1
50	лишь там где	1	1
51	мы видим что	1	1
52	одной и той	1	1
53	те или иные	3	1
54	как мы видим	1	1
55	со всеми его	1	1
56	в том что	1	1
57	в данном случае	3	1
58	ли он в	1	1
59	то ни было	1	1
60	с одной стороны	4	1
61	на его почве	2	1
