N	2gram	Vinokur_Ku_3	Analitik
1	в качестве	2	31
2	может быть	14	29
3	в том	22	27
4	не может	6	22
5	и не	10	21
6	в частности	2	19
7	и в	23	18
8	но и	3	17
9	а не	11	17
10	отнюдь не	3	15
11	не только	17	15
12	тогда как	1	14
13	не в	5	14
14	в этом	16	13
15	как и	5	13
16	в его	11	13
17	при этом	6	12
18	том что	11	12
19	текста в	1	12
20	в себе	1	11
21	состоит в	2	11
22	но не	3	10
23	то же	6	9
24	иначе говоря	2	9
25	в то	3	9
26	а в	5	9
27	есть не	3	8
28	в принципе	1	8
29	но в	2	8
30	нуждается в	1	8
31	в той	4	8
32	не есть	3	8
33	значении этого	1	7
34	том чтобы	4	7
35	произведения как	1	7
36	тем самым	4	7
37	к тому	3	7
38	этого слова	4	7
39	я и	3	6
40	мы имеем	2	6
41	в сущности	4	6
42	по отношению	3	6
43	отличие от	2	6
44	в самом	13	6
45	это не	3	6
46	далеко не	5	6
47	точки зрения	23	6
48	в своей	4	6
49	в отличие	2	6
50	в основе	1	6
51	по своей	1	6
52	той или	5	6
53	же время	1	6
54	только в	6	6
55	то что	4	6
56	или иной	7	6
57	прежде всего	9	6
58	в их	6	5
59	и на	1	5
60	и как	2	5
61	в целом	4	5
62	лишь в	8	5
63	и его	1	5
64	о том	6	5
65	сводится к	1	5
66	и того	2	5
67	между тем	4	5
68	как бы	5	5
69	отношению к	2	5
70	что в	13	5
71	того же	4	4
72	всего лишь	1	4
73	из того	2	4
74	столь же	4	4
75	более чем	2	4
76	все же	5	4
77	тому же	3	4
78	с другими	2	4
79	не всегда	1	4
80	с точки	16	4
81	и более	3	4
82	по себе	6	4
83	в области	14	4
84	ни в	3	4
85	могут быть	6	4
86	так и	6	4
87	не с	2	4
88	в другом	1	4
89	на вопрос	3	4
90	с другой	7	4
91	в конечном	1	4
92	искусства в	1	4
93	того что	11	4
94	уже не	8	4
95	конечном счете	1	4
96	для того	12	4
97	именно в	3	4
98	во времени	1	4
99	вместе с	2	4
100	из которых	1	4
101	исходя из	1	4
102	собственно говоря	1	4
103	не более	2	4
104	и т	54	3
105	таком случае	2	3
106	мере в	1	3
107	и есть	5	3
108	между двумя	1	3
109	подхода к	2	3
110	в полной	1	3
111	бы то	1	3
112	в рамках	5	3
113	что как	3	3
114	и к	3	3
115	в нашем	7	3
116	как он	2	3
117	он не	3	3
118	по природе	1	3
119	в силу	6	3
120	таким образом	9	3
121	то ни	1	3
122	не будет	1	3
123	того или	3	3
124	даже в	1	3
125	ведет к	1	3
126	смысл и	2	3
127	в котором	2	3
128	своего рода	2	3
129	всякий раз	1	3
130	однако в	2	3
131	дело не	2	3
132	того чтобы	11	3
133	т п	41	3
134	в текст	2	3
135	о нем	1	3
136	в таком	4	3
137	как будто	1	3
138	не могут	5	3
139	в собственном	1	3
140	если бы	8	3
141	означает что	1	3
142	а также	4	3
143	к нему	1	3
144	еще не	9	3
145	вопрос об	2	3
146	с одной	4	3
147	вопроса о	3	3
148	обратиться к	1	3
149	никто не	1	3
150	что и	6	3
151	не случайно	4	3
152	одной стороны	4	3
153	а именно	3	3
154	а с	3	3
155	что не	4	3
156	смысла и	1	3
157	более того	1	3
158	тому как	2	3
159	быть не	2	3
160	что мы	2	3
161	она может	2	3
162	которая в	1	3
163	хотя бы	9	3
164	будто бы	1	3
165	я в	3	3
166	в равной	1	3
167	что он	6	3
168	или иного	3	3
169	том числе	2	3
170	говоря о	1	2
171	отношения к	1	2
172	самом деле	14	2
173	на самом	3	2
174	науки о	1	2
175	в первом	5	2
176	также и	5	2
177	той же	3	2
178	как системе	1	2
179	на место	1	2
180	на себя	2	2
181	в составе	1	2
182	и то	1	2
183	между собой	1	2
184	данном случае	4	2
185	на основе	1	2
186	то он	3	2
187	не все	2	2
188	отношение к	3	2
189	не просто	2	2
190	нет и	1	2
191	за пределы	2	2
192	что именно	3	2
193	как к	2	2
194	как уже	1	2
195	в противоположность	1	2
196	то в	3	2
197	в которой	1	2
198	природе своей	1	2
199	все эти	7	2
200	бы не	3	2
201	из этих	5	2
202	есть вещь	2	2
203	думать что	1	2
204	от которого	1	2
205	не к	1	2
206	свидетельствует о	1	2
207	на этом	2	2
208	или иных	1	2
209	и с	3	2
210	вовсе не	5	2
211	так как	9	2
212	несмотря на	1	2
213	для чего	1	2
214	рода и	1	2
215	такой же	2	2
216	одного и	2	2
217	для него	1	2
218	не должен	1	2
219	не столько	4	2
220	вопрос о	11	2
221	только для	2	2
222	для данного	1	2
223	которые в	4	2
224	творчества и	1	2
225	для этого	6	2
226	свое время	2	2
227	тогда когда	4	2
228	в процессе	3	2
229	только не	1	2
230	никогда не	1	2
231	в коем	1	2
232	потому что	12	2
233	отличается от	2	2
234	же самое	1	2
235	как мы	5	2
236	и о	4	2
237	здесь не	2	2
238	в пределах	2	2
239	читателя в	1	2
240	одного из	1	2
241	не говоря	2	2
242	на примере	1	2
243	должно быть	7	2
244	с целью	2	2
245	и просто	1	2
246	можно сказать	2	2
247	и смыслом	1	2
248	чем и	1	2
249	деле в	1	2
250	язык есть	4	2
251	может иметь	3	2
252	один из	4	2
253	в двух	2	2
254	который в	1	2
255	коем случае	1	2
256	оказывается в	1	2
257	в начале	1	2
258	при помощи	1	2
259	автора или	1	2
260	не о	2	2
261	может служить	2	2
262	каждый из	1	2
263	образом не	2	2
264	со стороны	1	2
265	было бы	16	2
266	представляет собою	1	2
267	и составляет	1	2
268	в ряду	3	2
269	на фоне	7	2
270	и потому	1	2
271	в данном	7	2
272	она есть	2	2
273	что же	5	2
274	первом случае	2	2
275	той мере	1	2
276	тех или	1	2
277	об искусстве	1	2
278	тем более	5	2
279	другой стороны	3	2
280	культуры в	1	2
281	в свое	2	2
282	в какой	3	2
283	то на	1	1
284	речь идет	3	1
285	например в	1	1
286	язык может	1	1
287	зависимость от	1	1
288	три слова	1	1
289	сам по	3	1
