N	4gram	Losev_Prob_2	Russkaja
1	что бы то ни	1	3
2	в том случае если	1	3
3	во что бы то	1	3
4	бы то ни стало	1	3
5	только в том случае	2	2
6	котором мы говорили в	1	1
7	даже и в этом	1	1
8	близких друг к другу	1	1
9	всяком случае не будет	1	1
10	в том числе и	2	1
11	во всяком случае при	1	1
12	говорить о том что	1	1
13	во всяком случае не	2	1
14	и не может быть	1	1
15	точно так же и	1	1
16	отражением того или иного	1	1
17	бы то ни было	1	1
18	до сих пор мы	1	1
19	и в этом случае	3	1
20	заключается в том что	2	1
21	о котором мы говорили	1	1
22	можно было говорить о	2	1
23	также и то что	2	1
24	несмотря на то что	1	1
25	в том случае когда	1	1
