N	2gram	Bakhtin_fo_2	EvropaiE
1	и в	46	37
2	в отношении	2	32
3	в пределах	5	25
4	точки зрения	10	23
5	что в	5	21
6	не только	11	18
7	с точки	8	17
8	в то	5	16
9	то же	8	15
10	в своем	5	14
11	но в	10	14
12	же время	4	14
13	в качестве	3	14
14	но и	9	14
15	и не	9	14
16	в этом	22	12
17	в их	3	11
18	в том	10	11
19	так и	7	10
20	отнюдь не	4	9
21	в себе	4	9
22	только в	11	9
23	прежде всего	14	9
24	все более	1	9
25	не может	2	9
26	так же	2	9
27	в смысле	5	9
28	в ее	1	8
29	было бы	2	8
30	в своей	1	8
31	к тому	3	8
32	между тем	1	8
33	с одной	2	8
34	одной стороны	1	8
35	также и	4	7
36	а также	3	7
37	того что	3	7
38	так как	6	7
39	с другой	2	7
40	и выше	1	7
41	как и	8	7
42	по своему	2	7
43	между прочим	1	7
44	может быть	7	6
45	и на	7	6
46	во всех	11	6
47	то есть	10	6
48	том что	4	6
49	того чтобы	8	6
50	вовсе не	13	6
51	для того	8	6
52	и даже	3	6
53	как бы	10	6
54	с этой	4	6
55	то что	7	6
56	которую мы	1	5
57	но не	5	5
58	не в	9	5
59	и по	3	5
60	как мы	6	5
61	в виде	1	5
62	от этого	2	5
63	в частности	5	5
64	и потому	2	5
65	в той	2	5
66	этой точки	1	5
67	то в	2	4
68	мы не	1	4
69	вопрос о	1	4
70	в полной	1	4
71	в ней	1	4
72	в самом	1	4
73	несмотря на	1	4
74	чем в	1	4
75	лежат в	1	4
76	не имеет	1	4
77	и притом	1	4
78	той или	1	4
79	по себе	2	4
80	можно сказать	2	4
81	тем более	3	4
82	именно в	2	4
83	или иной	2	4
84	не на	3	4
85	мира в	3	4
86	как это	2	4
87	сказать что	1	4
88	идет о	1	3
89	бы и	1	3
90	того же	3	3
91	время в	1	3
92	в общем	1	3
93	как в	4	3
94	когда он	1	3
95	и к	2	3
96	вообще не	1	3
97	мы можем	1	3
98	большинстве случаев	3	3
99	и тем	1	3
100	в них	7	3
101	с тем	2	3
102	мы видели	2	3
103	в которых	3	3
104	дело в	1	3
105	никогда не	6	3
106	потому что	8	3
107	уже и	1	3
108	в будущем	1	3
109	с другом	4	3
110	во все	2	3
111	бы ни	1	3
112	всех случаях	1	3
113	о том	4	3
114	место в	4	3
115	что и	3	3
116	и только	2	3
117	различия в	1	3
118	из них	8	3
119	потребность в	1	3
120	себе в	1	3
121	в прошлом	3	3
122	к ним	2	3
123	тем что	3	3
124	этом отношении	2	3
125	и прежде	3	3
126	в свою	1	3
127	там где	2	3
128	в данном	2	3
129	друг с	4	3
130	не является	3	3
131	и для	9	3
132	и от	2	3
133	в результате	1	3
134	мира и	9	3
135	обстоит дело	1	3
136	жизни в	4	3
137	на своем	1	3
138	ее в	3	3
139	как на	2	3
140	в таком	1	3
141	во всяком	2	3
142	для этих	1	2
143	и отчасти	1	2
144	и то	1	2
145	по преимуществу	1	2
146	должна быть	1	2
147	есть не	1	2
148	что если	1	2
149	из того	1	2
150	между собой	1	2
151	он сам	1	2
152	к нулю	1	2
153	но как	1	2
154	точка зрения	3	2
155	друг от	2	2
156	как их	1	2
157	в истории	4	2
158	его на	1	2
159	с этим	5	2
160	хотя и	3	2
161	целый ряд	3	2
162	и как	3	2
163	чем больше	1	2
164	в этой	2	2
165	всего к	1	2
166	в случае	1	2
167	он не	5	2
168	и еще	1	2
169	таким образом	3	2
170	это значит	3	2
171	в мире	4	2
172	и с	6	2
173	и рядом	2	2
174	новый мир	1	2
175	далеко не	2	2
176	дело идет	2	2
177	одна и	2	2
178	такой же	1	2
179	и того	1	2
180	в этих	3	2
181	в котором	4	2
182	представление о	2	2
183	одном из	2	2
184	и более	2	2
185	она не	2	2
186	и имеет	2	2
187	по своей	1	2
188	участию в	1	2
189	что на	3	2
190	в порядке	1	2
191	не могут	1	2
192	могут быть	2	2
193	или поздно	1	2
194	всего в	3	2
195	имеет место	3	2
196	от друга	2	2
197	как не	1	2
198	свою очередь	1	2
199	данном случае	1	2
200	на основе	3	2
201	культуры и	1	2
202	по сравнению	1	2
203	если бы	1	2
204	того мира	1	2
205	и поэтому	1	2
206	и та	2	2
207	в будущее	1	2
208	и что	1	2
209	в значительной	1	2
210	и во	6	2
211	в его	8	2
212	человеческого рода	1	2
213	же к	1	2
214	есть в	1	2
215	идеологии и	1	2
216	не можем	1	2
217	море и	1	2
218	в большинстве	3	2
219	если в	2	2
220	рано или	1	2
221	и других	2	2
222	участие в	1	2
223	в одном	7	2
224	меньше чем	1	2
225	влияние на	2	2
226	в год	1	2
227	в некоторых	2	2
228	на этот	1	2
229	а не	4	2
230	что все	2	2
231	следовало бы	1	2
232	начиная с	1	2
233	вместе с	9	2
234	сравнению с	1	2
235	наряду с	2	2
236	в европейской	1	2
237	ко всему	1	2
238	с большой	2	2
239	более поздние	1	2
240	и все	6	2
241	бы в	1	2
242	еще более	4	2
243	стороны в	1	2
244	и наконец	6	2
245	же в	4	2
246	мы видим	2	2
247	а в	3	2
248	между ними	2	2
249	другой стороны	1	2
250	частности в	1	2
251	жизни и	8	2
252	существует только	1	1
253	себя как	1	1
254	ту же	2	1
255	и т	14	1
256	например в	1	1
257	мы здесь	1	1
258	в тех	1	1
259	и это	2	1
260	тех же	1	1
261	с природой	1	1
262	которую они	1	1
263	и до	2	1
264	права и	1	1
265	указанных выше	1	1
266	на тех	1	1
267	большую роль	1	1
268	чтобы не	1	1
269	почти все	3	1
270	есть нечто	1	1
271	время как	1	1
272	говорить о	2	1
273	достаточно чтобы	1	1
274	которые при	1	1
275	когда мы	1	1
276	в каждой	1	1
277	перечисленных случаях	1	1
278	с его	1	1
279	что люди	1	1
280	тем как	1	1
281	бы она	2	1
282	и всего	1	1
283	эпохи мы	1	1
284	ибо то	1	1
285	мы будем	3	1
286	пребывают в	1	1
287	значение и	4	1
288	для всякого	1	1
289	находящихся в	1	1
290	отличие от	1	1
291	за пределы	1	1
292	в одной	2	1
293	все остальные	1	1
294	все же	6	1
295	однако не	1	1
296	кроме того	3	1
297	в полном	1	1
298	что по	1	1
299	не являются	1	1
300	его к	1	1
301	к культуре	1	1
302	этого мира	2	1
303	в этот	3	1
304	и детей	2	1
305	в идеологической	1	1
306	за свои	1	1
307	та же	3	1
308	как то	1	1
309	это есть	1	1
310	самой природе	1	1
311	этот новый	1	1
312	нужно как	1	1
313	в нашем	1	1
314	которые в	1	1
315	связанного с	1	1
316	идут в	1	1
317	же этого	1	1
318	и тот	1	1
319	и те	1	1
320	к участию	1	1
321	на его	1	1
322	при этом	6	1
323	т д	3	1
324	не значит	1	1
325	что идеология	1	1
326	не как	1	1
327	в корне	2	1
328	в новой	1	1
329	на земле	2	1
330	или вовсе	1	1
331	этом мире	6	1
332	на этом	2	1
333	как более	1	1
334	ни для	2	1
335	в человеческом	1	1
336	но все	1	1
337	до эпохи	1	1
338	от нее	1	1
339	а затем	3	1
340	в нем	5	1
341	они должны	1	1
342	в совершенно	3	1
343	человеческого развития	1	1
344	лишь в	2	1
345	как тот	1	1
346	мире как	1	1
347	но нам	1	1
348	лишь на	1	1
349	весь мир	3	1
350	о которых	1	1
351	рядом с	2	1
352	сущность этого	1	1
353	развития так	1	1
354	жизни но	2	1
355	приближающейся к	1	1
356	и было	4	1
357	народа и	1	1
358	время для	1	1
359	с положительной	1	1
360	именно и	1	1
361	в отличие	1	1
362	далее в	2	1
363	значение для	2	1
364	своей судьбой	1	1
365	друг другу	2	1
366	войти в	1	1
367	том же	4	1
368	бы нас	2	1
369	тому что	1	1
370	о будущем	1	1
371	все эти	5	1
372	вплоть до	2	1
