1	то же время	5	9
2	в то же	4	6
3	и в то	1	5
4	одного и того	2	5
5	и того же	2	5
6	в том числе	1	4
7	времени и пространства	1	4
8	к себе самому	1	4
9	одно и то	2	3
10	по отношению к	4	3
11	в одно и	1	3
12	не может быть	3	3
13	в этом отношении	4	3
14	и то же	2	3
15	и в частности	1	2
16	ни в чем	1	2
17	существенную роль в	1	2
18	с самого начала	1	2
19	а также и	1	2
20	одной стороны и	2	2
21	с точки зрения	2	2
22	в отличие от	12	2
23	внешнее и внутреннее	1	2
24	но все эти	1	2
25	дело в том	2	2
26	в этом мире	2	2
27	по природе своей	2	2
28	частной жизни и	1	2
29	в чем не	1	2
30	одних и тех	1	2
31	том числе и	1	2
32	жизни то есть	1	2
33	в соответствии с	2	2
34	в том что	6	2
35	и тех же	1	2
36	равно как и	1	2
37	той или иной	3	2
38	с одной стороны	4	2
39	как и в	5	2
40	и прежде всего	2	2
41	друг на друга	1	2
42	человеческой жизни в	1	2
43	все то что	1	2
44	в себе не	1	1
45	так и во	1	1
46	идеал и образ	1	1
47	в той или	1	1
48	по своей природе	1	1
49	нем разделились ядро	1	1
50	включает в себя	1	1
51	не могут быть	1	1
52	так и в	3	1
53	образ определенной жизненной	1	1
54	и как бы	2	1
55	в нем разделились	1	1
56	человека проходящего свой	1	1
57	здесь как и	1	1
58	свой жизненный путь	2	1
59	идеальный образ определенной	1	1
60	специфически построенный образ	1	1
61	том что в	1	1
62	в себя и	1	1
63	жизни но и	1	1
64	и все же	3	1
65	приходит к выводу	1	1
66	в значительной степени	1	1
67	весьма существенную роль	1	1
68	и может быть	2	1
69	формы определенного положения	1	1
70	но в этом	1	1
71	одном и том	1	1
72	историческое время в	1	1
73	во всяком случае	1	1
74	в этом случае	2	1
75	не было в	2	1
76	время становления и	1	1
77	в другом месте	1	1
78	прежде всего на	1	1
79	прежде всего в	1	1
80	жанров в частности	1	1
81	новый специфически построенный	1	1
82	проходящего свой жизненный	1	1
83	многослойным и разносоставным	1	1
84	стал многослойным и	1	1
85	ядро и оболочка	1	1
86	предъявляемых к данному	1	1
87	и том же	1	1
88	как и их	1	1
89	жизненный путь в	1	1
90	раскрывается не в	1	1
91	разделились ядро и	1	1
92	его жизненного пути	1	1
93	в данном случае	6	1
94	в самом деле	1	1
95	человека стал многослойным	1	1
96	к данному положению	1	1
97	определенной жизненной формы	1	1
98	построенный образ человека	1	1
99	оболочка внешнее и	1	1
100	то есть в	1	1
101	та или иная	1	1
102	немалую роль в	1	1
103	ни в мире	2	1
104	совокупность требований предъявляемых	1	1
105	жизненной формы определенного	1	1
106	жизни но в	1	1
107	о том что	3	1
108	образ человека проходящего	1	1
109	разносоставным в нем	1	1
110	и разносоставным в	1	1
111	требований предъявляемых к	1	1
112	так и его	1	1
113	в это время	1	1
114	и образ умершего	1	1
115	и оболочка внешнее	1	1
116	и т.п в	1	1
117	становления и роста	1	1
118	образ человека стал	1	1
119	до известной степени	1	1
120	образ умершего сливаются	1	1
121	в таких произведениях	1	1
