N	2gram	Savitsky_E_1	Psycholo
1	и в	37	38
2	то что	6	35
3	в самом	4	25
4	в том	11	25
5	что в	21	20
6	может быть	6	19
7	и что	2	18
8	точки зрения	23	16
9	на то	6	16
10	то есть	6	15
11	в ней	4	15
12	потому что	3	14
13	и т	1	14
14	если бы	2	14
15	как бы	6	14
16	том что	6	14
17	в этом	12	13
18	и мы	3	13
19	в этой	2	13
20	таким образом	2	12
21	мы видим	2	12
22	мы увидим	1	12
23	не только	18	12
24	не в	5	12
25	было бы	8	12
26	и не	14	10
27	и все	2	10
28	что это	2	10
29	то же	15	10
30	о которых	1	9
31	в двух	1	9
32	увидим что	1	9
33	того чтобы	6	9
34	с точки	17	9
35	и как	2	8
36	все же	1	8
37	для нас	4	8
38	вовсе не	6	8
39	с тем	3	8
40	в одном	2	8
41	как и	7	8
42	с этим	2	8
43	и это	1	8
44	для того	6	8
45	и то	2	8
46	с другой	7	7
47	не может	9	7
48	между тем	8	7
49	как мы	5	7
50	в ее	8	7
51	мы можем	3	7
52	а в	2	7
53	а не	2	7
54	заключается в	2	7
55	там где	3	6
56	как это	4	6
57	с и	10	6
58	с одной	8	6
59	к тому	8	6
60	мы видели	3	6
61	не имеет	4	6
62	которых мы	1	6
63	и его	1	6
64	один из	1	6
65	в котором	2	6
66	тому что	1	6
67	о том	3	6
68	и на	6	6
69	и если	2	6
70	она не	2	6
71	в которых	3	6
72	если мы	1	6
73	из них	3	6
74	так как	7	6
75	бы совершенно	2	6
76	он не	2	6
77	или в	2	5
78	о котором	1	5
79	одной стороны	8	5
80	должна быть	2	5
81	к которым	5	5
82	иначе говоря	2	5
83	в какой	2	5
84	двух противоположных	1	5
85	мы не	4	5
86	в своей	8	5
87	казалось бы	1	5
88	время в	3	5
89	вместе с	2	5
90	в той	5	5
91	могли бы	1	5
92	но и	14	5
93	и когда	1	5
94	другой стороны	2	5
95	в его	2	5
96	на этом	1	5
97	несмотря на	4	5
98	с такой	1	5
99	в своем	14	5
100	все эти	1	4
101	в себе	9	4
102	одна из	1	4
103	больше чем	1	4
104	при этом	1	4
105	и для	3	4
106	т д	1	4
107	время как	1	4
108	в нем	1	4
109	в тех	1	4
110	что эта	1	4
111	во всех	6	4
112	и другое	1	4
113	с той	1	4
114	того что	7	4
115	но если	5	4
116	никогда не	3	4
117	и даже	6	4
118	как в	3	4
119	в самой	1	4
120	ее в	3	4
121	что если	2	4
122	сказать что	4	4
123	в течение	5	4
124	как будто	2	4
125	только в	9	4
126	который не	1	4
127	по своему	7	4
128	что эти	2	4
129	когда он	3	4
130	что и	3	4
131	мы все	1	4
132	идет о	3	4
133	обратиться к	1	4
134	в своих	2	4
135	при помощи	2	4
136	когда в	1	4
137	которую мы	5	4
138	что с	1	4
139	конечно не	1	4
140	не можем	2	4
141	речь идет	1	4
142	в свою	3	4
143	что все	2	3
144	и этот	2	3
145	главным образом	2	3
146	что по	1	3
147	и тем	3	3
148	место в	3	3
149	того же	3	3
150	в них	3	3
151	что как	1	3
152	как на	3	3
153	не к	2	3
154	был бы	1	3
155	к концу	1	3
156	мы хотим	1	3
157	каждого из	1	3
158	то и	1	3
159	та же	1	3
160	которое мы	1	3
161	бы в	2	3
162	и только	3	3
163	с теми	1	3
164	она в	3	3
165	и о	1	3
166	и к	3	3
167	наше внимание	2	3
168	что не	1	3
169	тот же	1	3
170	в то	16	3
171	к тем	1	3
172	к ним	3	3
173	наряду с	2	3
174	тем что	3	3
175	эти два	1	3
176	в таком	3	3
177	из всех	3	3
178	далеко не	2	3
179	мы говорили	1	3
180	указать на	1	3
181	в такой	1	3
182	но в	14	3
183	в основе	1	3
184	состоит в	1	3
185	она может	1	3
186	так называемой	1	3
187	но это	1	3
188	в полном	1	2
189	для всех	1	2
190	и затем	1	2
191	когда мы	1	2
192	в известных	2	2
193	поэзии и	1	2
194	и наконец	2	2
