N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	65
2	как бы	4	22
3	и не	6	22
4	вовсе не	1	18
5	и т.п	1	17
6	в том	4	16
7	в этом	7	15
8	но в	3	14
9	в нем	3	13
10	в условиях	5	13
11	мы уже	1	12
12	прежде всего	5	11
13	все эти	5	10
14	не только	4	10
15	и его	1	10
16	и потому	3	10
17	во всех	1	9
18	в его	2	9
19	все это	3	9
20	в своем	1	8
21	в духе	1	8
22	в дальнейшем	4	8
23	и даже	2	8
24	здесь в	1	8
25	его в	1	7
26	точки зрения	12	7
27	в области	3	7
28	только в	1	7
29	жизни и	4	7
30	на самом	1	6
31	в ней	1	6
32	еще не	3	6
33	все же	3	6
34	и у	1	6
35	при этом	3	6
36	том что	1	6
37	никогда не	1	6
38	как мы	2	6
39	времени и	2	6
40	так как	4	6
41	может быть	12	6
42	не знает	1	6
43	сказать что	1	6
44	с его	1	5
45	отличие от	2	5
46	его развития	3	5
47	рядом с	1	5
48	как и	6	5
49	той или	1	5
50	в одном	3	5
51	или иной	2	5
52	и пр	2	5
53	xix века	1	5
54	и все	3	5
55	еще более	2	5
56	в своих	1	5
57	жизни в	1	5
58	здесь и	1	4
59	и до	1	4
60	и к	3	4
61	в самом	2	4
62	в этой	3	4
63	так сказать	2	4
64	и еще	1	4
65	в отличие	2	4
66	не в	3	4
67	до сих	1	4
68	связи с	1	4
69	из них	4	4
70	нужно сказать	1	4
71	сих пор	1	4
72	это уже	1	4
73	это как	1	4
74	для нас	3	4
75	между ними	1	4
76	совершенно не	2	4
77	новое время	1	3
78	можно говорить	1	3
79	самом деле	2	3
80	между всеми	2	3
81	по его	1	3
82	жизни как	1	3
83	мы будем	1	3
84	уже не	2	3
85	но все	2	3
86	в себе	3	3
87	на этой	3	3
88	это не	4	3
89	весь мир	1	3
90	в новое	1	3
91	с точки	5	3
92	но это	1	3
93	на котором	2	3
94	ничего не	6	3
95	не могут	2	3
96	и прежде	1	3
97	и вообще	1	3
98	с ним	1	3
99	с другой	1	3
100	и во	2	3
101	к нему	1	3
102	вся эта	1	3
103	во всей	1	3
104	но как	1	3
105	в системе	3	3
106	и эта	1	3
107	и их	1	3
108	но для	1	3
109	не является	1	3
110	и ни	1	3
111	не может	17	3
112	что в	2	3
113	из всех	1	2
114	для своего	1	2
115	и само	1	2
116	подчеркнуть что	1	2
117	на них	1	2
118	именно эти	1	2
119	различия между	1	2
120	но не	1	2
121	нет и	4	2
122	своему существу	1	2
123	и наконец	5	2
124	из этих	2	2
125	явлений не	1	2
126	он не	1	2
127	в заключение	1	2
128	на его	2	2
129	свое время	1	2
130	и по	2	2
131	а затем	1	2
132	конечно в	2	2
133	всегда и	1	2
