N	2gram	Medvedev_I_1	VrazhdaK
1	достоевского с	1	9
2	в этом	2	8
3	и в	1	8
4	что в	2	7
5	и с	3	6
6	к достоевскому	1	6
7	и не	2	5
8	все это	1	4
9	во многом	1	4
10	из подполья	1	3
11	я не	1	3
12	он не	2	3
13	и о	1	3
14	тем что	1	3
15	и дети	1	2
16	за границей	1	2
17	в них	1	2
18	а с	1	2
19	в эту	1	2
20	никогда не	1	2
21	а также	1	2
22	после смерти	1	2
23	и наказания	1	2
24	для него	1	2
25	о достоевском	2	2
26	а в	1	2
27	того же	1	1
28	преступления и	1	1
29	не слишком	1	1
30	говорить о	1	1
31	в целом	1	1
32	знать и	1	1
33	и и	1	1
34	достоевского а	2	1
35	же это	1	1
36	это было	1	1
37	же писатель	1	1
38	вплоть до	1	1
39	произведения это	1	1
40	было не	1	1
41	как о	1	1
42	ничего не	2	1
43	все ясно	1	1
44	творчества достоевского	2	1
45	и сам	1	1
46	так и	1	1
47	с героем	1	1
48	себя в	1	1
49	что для	1	1
50	из мертвого	1	1
51	с другой	1	1
52	того что	1	1
53	оба они	2	1
54	бы в	1	1
55	только что	1	1
56	другой стороны	1	1
57	о творчестве	1	1
58	бы его	1	1
59	мертвого дома	1	1
60	жизни и	1	1
