N	3gram	Tiupa_Narr_1	OGranits
1	с точки зрения	1	5
2	не может быть	4	4
3	по отношению к	3	3
4	одно и то	2	3
5	и т.п и	2	3
6	что иное как	1	2
7	в самом деле	2	2
8	в зависимости от	2	2
9	языка как системы	1	2
10	в данном случае	8	2
11	с одной стороны	1	2
12	и то же	2	2
13	с другой стороны	1	2
14	то же слово	1	2
15	чем иным как	2	2
16	в том что	5	2
17	один и тот	1	1
18	только потому что	1	1
19	в хх веке	1	1
20	более или менее	1	1
21	на самом деле	1	1
22	подобно тому как	3	1
23	говорить не приходится	1	1
24	то же самое	2	1
25	и не может	1	1
26	они сводятся к	1	1
27	в отличие от	2	1
28	и не мог	1	1
29	только то что	1	1
30	в этом отношении	3	1
31	может быть и	1	1
32	значения как в	1	1
33	по себе а	1	1
34	для того чтобы	3	1
35	в особенности в	1	1
36	может быть не	2	1
37	и тот же	1	1
38	один из наиболее	1	1
39	состоит в том	2	1
40	не входит в	1	1
41	тем не менее	3	1
42	и как бы	1	1
43	средств в их	1	1
44	в связи с	2	1
45	само по себе	1	1
46	в эстетике и	1	1
47	в области поэтики	1	1
48	он и не	1	1
49	в их исторической	1	1
50	не мог бы	1	1
51	то же время	4	1
52	мы не можем	1	1
53	объект и не	1	1
54	собственно говоря и	1	1
55	не только на	2	1
56	в конечном счете	1	1
57	на то что	2	1
58	в то же	4	1
59	к тому что	1	1
60	как и в	1	1
