N	4gram	Vygotskiy__2	Myslijsy
1	одно и то же	1	5
2	в то же время	2	5
3	что в то время	1	3
4	одной и той же	4	2
5	в том что он	3	2
6	и в том что	1	2
7	вместе с тем и	1	2
8	бросается в глаза что	1	1
9	но и в том	1	1
10	одна и та же	1	1
11	но опыт показывает что	1	1
12	в том смысле что	1	1
13	на каждом шагу в	1	1
14	а между тем в	1	1
15	друг с другом и	1	1
16	слова в этом отношении	1	1
17	один и тот же	1	1
18	и в самом деле	4	1
19	в то время как	2	1
20	в силу того что	1	1
21	в произведении искусства и	1	1
22	в том что она	3	1
23	только в том случае	4	1
24	заключается в том что	7	1
25	не само по себе	1	1
26	может и не иметь	1	1
