N	2gram	Nazirov_Tv_1	slovoVRo
1	в романе	10	46
2	и в	21	39
3	может быть	5	37
4	и т	3	35
5	и его	6	33
6	т п	2	33
7	то есть	12	26
8	не только	7	24
9	и не	7	22
10	но и	3	21
11	не может	4	20
12	в нем	3	19
13	до конца	2	17
14	в этом	6	16
15	все это	10	16
16	так и	2	15
17	а не	5	14
18	человек и	1	14
19	отличие от	2	13
20	как в	8	13
21	в процессе	1	13
22	во всех	1	12
23	в отличие	2	12
24	в истории	1	11
25	вовсе не	5	10
26	и с	3	9
27	не в	2	9
28	со своим	1	9
29	таким образом	5	8
30	оно не	1	8
31	себя в	1	8
32	прежде всего	4	8
33	слова и	1	8
34	еще не	1	7
35	с его	11	7
36	в него	2	7
37	европейского романа	1	7
38	при этом	7	7
39	в этих	2	7
40	для него	6	7
41	с ним	3	7
42	никогда не	3	7
43	могут быть	2	7
44	в его	13	7
45	и даже	3	7
46	как бы	17	7
47	в сущности	1	6
48	но не	3	6
49	в своем	4	6
50	все же	5	6
51	и к	1	6
52	но в	7	6
53	все эти	1	6
54	так сказать	2	6
55	в них	1	6
56	как и	12	6
57	она не	1	6
58	язык в	1	6
59	жизни и	3	6
60	героя и	2	5
61	человека в	6	5
62	это не	4	5
63	том что	11	5
64	по себе	1	5
65	мышления и	1	5
66	слово и	1	5
67	не могут	1	5
68	но все	1	5
69	с другой	3	5
70	один из	4	5
71	в том	7	5
72	с ними	1	5
73	с одной	1	5
74	уже не	3	5
75	и их	1	5
76	одной стороны	1	5
77	в плане	1	5
78	только в	5	5
79	романа и	1	5
80	от него	1	5
81	и все	6	5
82	и наконец	2	5
83	его не	1	4
84	и на	7	4
85	по отношению	1	4
86	сливается с	3	4
87	истории литературного	1	4
88	связанные с	1	4
89	всех этих	1	4
90	то же	13	4
91	слова не	1	4
92	его в	1	4
93	ни в	1	4
94	в отношении	1	4
95	не менее	6	4
96	в то	15	4
97	одна из	2	4
98	в основе	2	4
99	же время	12	4
100	что оно	1	4
101	для этого	1	4
102	наконец в	1	4
103	для всех	1	4
