N	2gram	Medvedev_I_1	Istorich
1	и в	1	26
2	что в	2	14
3	так и	1	10
4	и не	2	9
5	а в	1	8
6	в этом	2	7
7	он не	2	7
8	и с	3	5
9	ничего не	2	5
10	тем что	1	5
11	и др	1	5
12	с другой	1	4
13	а по	1	4
14	другой стороны	1	4
15	все эти	1	3
16	и и	1	3
17	на котором	1	3
18	есть только	1	3
19	а также	1	3
20	в руки	1	3
21	по существу	1	3
22	только что	1	3
23	тех же	1	2
24	в целом	1	2
25	и тот	1	2
26	же это	1	2
27	все это	1	2
28	никогда не	1	2
29	если бы	1	2
30	того что	1	2
31	себя в	1	2
32	не дает	1	2
33	могло бы	1	2
34	не случайно	1	2
35	то и	1	1
36	дает и	1	1
37	них не	1	1
38	в них	1	1
39	и очень	1	1
40	вплоть до	1	1
41	доказать что	1	1
42	в основе	1	1
43	что при	1	1
44	с героем	1	1
45	бы в	1	1
46	к отцу	1	1
47	очевидно что	1	1
48	а с	1	1
49	цель и	1	1
50	все тех	1	1
51	нет есть	1	1
52	как отец	1	1
53	жизни и	1	1
54	по поводу	1	1
