N	3gram	Tiupa_Hudo_1	NovoeSre
1	не может быть	3	4
2	подобно тому как	1	3
3	в этом смысле	3	2
4	так же как	1	2
5	с одной стороны	2	2
6	с другой стороны	5	2
7	в том и	2	2
8	по своей природе	2	1
9	я думаю что	1	1
10	и того же	2	1
11	и в жизни	1	1
12	а не с	1	1
13	одного и того	2	1
14	в том числе	2	1
15	не было и	1	1
16	для себя и	1	1
17	том случае если	1	1
18	в отличие от	7	1
19	том числе и	1	1
20	заключает в себе	1	1
21	в том случае	1	1
22	к вопросу о	1	1
23	и потому что	1	1
24	в известном смысле	1	1
25	не могут быть	1	1
26	нового времени в	1	1
27	о том что	1	1
28	в то время	1	1
29	в значительной степени	1	1
30	имея в виду	1	1
31	это и есть	1	1
32	та или иная	1	1
33	весь мир все	1	1
34	мы говорим о	1	1
35	быть не может	1	1
36	в том что	7	1
37	добро и зло	1	1
38	как и в	1	1
