N	2gram	Losev_Prob_5	Marksizm
1	точки зрения	10	34
2	может быть	7	26
3	и не	12	26
4	не может	5	24
5	с точки	8	20
6	и в	30	19
7	и его	6	19
8	таким образом	13	17
9	в этом	17	16
10	как бы	6	15
11	как мы	2	13
12	прежде всего	6	13
13	как и	7	12
14	если мы	1	11
15	так и	7	11
16	связи с	7	11
17	и для	6	11
18	самом деле	2	10
19	в нем	6	10
20	ни было	1	10
21	в самом	5	10
22	только в	9	9
23	в результате	7	9
24	бы то	2	8
25	все же	9	8
26	не только	18	8
27	при этом	4	8
28	то ни	2	8
29	до сих	2	8
30	но и	13	8
31	сих пор	2	8
32	то что	18	8
33	в ее	3	7
34	но в	9	7
35	все эти	2	7
36	и те	1	7
37	то же	2	7
38	а не	5	7
39	в связи	7	7
40	так же	5	7
41	отнюдь не	4	6
42	кроме того	2	6
43	мы не	2	6
44	в науке	2	6
45	ничего не	2	6
46	и здесь	1	6
47	настоящее время	3	6
48	в его	12	6
49	в том	12	6
50	с помощью	2	6
51	в смысле	4	6
52	в настоящее	3	6
53	другой стороны	6	6
54	того же	4	6
55	конечно не	2	5
56	входит в	1	5
57	не в	7	5
58	того чтобы	2	5
59	ничего общего	1	5
60	те же	1	5
61	и все	9	5
62	этот вопрос	1	5
63	ясно что	4	5
64	в начале	3	5
65	в конце	8	5
66	вовсе не	8	5
67	с другой	6	5
68	именно в	3	5
69	до конца	1	5
70	и потому	1	5
71	хотя бы	2	5
72	к этому	2	5
73	во всяком	2	5
74	вопрос о	1	4
75	и на	6	4
76	науки о	1	4
77	нет и	1	4
78	как в	2	4
79	лишь с	1	4
80	здесь мы	1	4
81	не будет	2	4
82	было бы	4	4
83	не столько	1	4
84	не менее	5	4
85	по себе	2	4
86	в отношении	3	4
87	самого начала	1	4
88	в ней	3	4
89	с самого	1	4
90	еще не	3	4
91	только на	1	4
92	от того	1	4
93	для того	3	4
94	далеко не	4	4
95	с этим	1	4
96	в данном	2	4
97	тот же	3	4
98	а в	6	4
99	жизни в	4	4
100	сказать что	9	4
101	что в	5	4
102	на самом	1	3
103	и есть	1	3
104	а как	1	3
105	в большинстве	1	3
106	по отношению	2	3
107	и как	6	3
108	и к	4	3
109	в которой	5	3
110	к другому	1	3
111	но все	4	3
112	его в	6	3
113	от одного	1	3
114	он не	3	3
115	том что	17	3
116	эта последняя	1	3
117	в своей	22	3
118	и ее	1	3
119	в котором	2	3
120	в то	4	3
121	для всего	1	3
122	не имеет	1	3
123	же время	1	3
124	следует что	1	3
125	этом отношении	1	3
126	в области	2	3
127	не могут	2	3
128	и это	1	3
129	в дальнейшем	7	3
130	сводится к	1	3
131	нашей работы	1	3
132	можно сказать	6	3
133	здесь в	2	3
134	и следовательно	1	3
135	конце концов	6	3
136	того что	3	3
137	одной из	1	3
138	нуждается в	1	3
139	в какой	2	3
140	между тем	2	3
141	большинстве случаев	1	3
142	из них	2	3
143	в целях	2	3
144	момент в	1	3
145	или иной	1	3
146	не было	1	3
147	все это	1	3
148	xix века	1	3
149	и от	1	3
150	и при	1	3
151	мы должны	1	3
152	всех других	1	3
153	это и	1	3
154	или к	2	2
155	мы уже	1	2
156	таком случае	2	2
157	и он	4	2
158	в чем	2	2
159	то мы	1	2
160	и всего	1	2
161	не все	2	2
162	не просто	5	2
163	и речи	2	2
164	сама по	1	2
165	в одной	2	2
166	природы как	1	2
167	в своем	11	2
168	однако не	1	2
169	его к	1	2
170	от этого	3	2
171	то в	1	2
172	бы и	1	2
173	формы в	1	2
174	в нашем	1	2
175	из этих	1	2
176	в себе	4	2
177	на стадии	2	2
178	если он	2	2
179	тем не	5	2
180	он ни	1	2
181	не как	1	2
182	из него	1	2
183	можно было	2	2
184	от нее	1	2
185	в работе	1	2
186	в другом	3	2
187	и с	5	2
188	бы в	1	2
189	на этой	1	2
190	этом смысле	3	2
191	в новое	3	2
192	ни в	4	2
193	для них	3	2
194	от него	1	2
195	уже у	6	2
196	на первый	1	2
197	первым и	1	2
198	и более	2	2
199	тому что	1	2
200	в русской	3	2
201	мысли в	1	2
202	что такое	1	2
203	и сама	2	2
204	людей так	1	2
205	как она	1	2
206	и является	2	2
207	точке зрения	2	2
208	у нас	7	2
209	ни о	1	2
210	могут быть	1	2
211	числе и	1	2
212	к тому	2	2
213	она не	1	2
214	необходимо включить	1	2
