N	2gram	Losev_Vlad_3	NovoeSre
1	а не	8	17
2	и в	40	16
3	не может	14	16
4	совсем не	5	12
5	и не	25	11
6	и есть	1	10
7	истории и	1	9
8	что в	17	9
9	как не	2	8
10	в том	18	8
11	жизни и	1	8
12	он не	8	8
13	в этом	16	7
14	в новой	1	7
15	может быть	8	7
16	не будет	6	7
17	как и	7	7
18	это есть	10	7
19	с его	2	6
20	не в	3	6
21	ни в	10	6
22	никогда не	11	6
23	лишь в	1	6
24	но это	6	6
25	с ее	1	5
26	в ней	5	5
27	истории в	2	5
28	и к	2	5
29	не только	25	5
30	в жизни	2	5
31	xix века	6	5
32	все это	1	5
33	в нем	3	5
34	новое время	1	4
35	о том	11	4
36	и мы	1	4
37	перестает быть	1	4
38	в них	1	4
39	то что	28	4
40	это не	3	4
41	прежде всего	10	4
42	не было	5	4
43	должно быть	5	4
44	и потому	10	4
45	по своему	1	4
46	значит что	6	4
47	не менее	9	4
48	и для	3	4
49	не имеет	4	4
50	и все	4	4
51	потому что	11	4
52	с другой	5	3
53	смысле слова	6	3
54	в ее	1	3
55	должна быть	2	3
56	вопрос о	4	3
57	человека и	3	3
58	еще не	4	3
59	во всех	1	3
60	за пределы	3	3
61	в истории	5	3
62	наряду с	2	3
63	как в	1	3
64	духа и	1	3
65	конечно не	1	3
66	в мире	2	3
67	но и	18	3
68	это было	3	3
69	не есть	10	3
70	с тем	7	3
71	бога и	1	3
72	в своей	9	3
73	перейти от	1	3
74	к жизни	1	3
75	в новое	1	3
76	в россии	3	3
77	к религиозному	1	3
78	она не	2	3
79	не существует	2	3
80	в основе	1	3
81	в духе	3	3
82	к тому	7	3
83	сказать что	12	3
84	и это	6	2
85	же как	3	2
86	силы и	1	2
87	это и	1	2
88	время как	2	2
89	на путях	2	2
90	роль в	2	2
91	не имеют	2	2
92	можно было	5	2
93	так и	6	2
94	природе и	1	2
95	мы не	2	2
96	мира и	1	2
97	и с	9	2
98	мира а	1	2
99	стремление к	1	2
100	еще до	2	2
101	но она	1	2
102	я не	3	2
103	и должно	1	2
104	и что	8	2
105	и на	6	2
106	быть в	2	2
107	но не	4	2
108	к богу	2	2
109	в новом	1	2
110	в свои	1	2
111	века и	1	2
112	с этим	2	2
113	ни к	2	2
114	хотя и	7	2
115	но в	4	2
116	учителей церкви	1	2
117	который в	2	2
118	в обществе	2	2
119	все эти	5	2
120	с одной	3	2
121	думать что	1	2
122	с их	3	2
123	в себе	9	2
124	уже не	9	2
125	вернуться к	1	2
126	стремиться к	1	2
