N	3gram	Vinokur_St_2	Freidism
1	с точки зрения	2	11
2	по отношению к	1	8
3	во всяком случае	3	7
4	в самом деле	2	6
5	в зависимости от	1	4
6	то же время	1	4
7	в то же	1	4
8	в данном случае	1	4
9	на самом деле	1	4
10	как мы видели	1	4
11	для того чтобы	5	3
12	бы то ни	2	3
13	на этот вопрос	1	3
14	в свою очередь	1	3
15	прежде всего к	1	3
16	с самого начала	3	3
17	он не только	1	2
18	что же касается	1	2
19	до сих пор	5	2
20	в отличие от	2	2
21	что он сам	1	2
22	так и в	2	2
23	в этом отношении	9	2
24	что в его	1	2
25	то ни было	2	2
26	тем не менее	2	2
27	в высшей степени	1	2
28	в конце концов	1	2
29	том что в	2	1
30	большую роль в	1	1
31	но как раз	1	1
32	точка зрения на	1	1
33	и теперь еще	1	1
34	намека на возможность	1	1
35	только потому что	2	1
36	говорит об этом	2	1
37	в котором он	1	1
38	в таком виде	1	1
39	ни на чем	1	1
40	бы он не	1	1
41	как бы ни	1	1
42	в этом случае	1	1
43	поэтому она не	1	1
44	в котором мы	1	1
45	при таких условиях	1	1
46	он никогда не	1	1
47	об этом сам	1	1
48	а как бы	1	1
49	на этой почве	1	1
50	из того же	1	1
51	но вместе с	1	1
52	каких бы то	1	1
53	по сравнению с	1	1
54	всяком случае не	2	1
55	на чем не	1	1
56	одни и те	1	1
57	то что он	2	1
58	только в его	1	1
59	мысль о возможности	1	1
60	собою разумеется что	2	1
61	настолько велико что	1	1
62	тому что было	2	1
63	они свидетельствуют о	1	1
64	ни в каком	1	1
65	таким образом в	1	1
66	то обстоятельство что	4	1
67	в то время	1	1
68	имея в виду	1	1
69	о том что	11	1
70	ничего общего с	1	1
71	к выводу что	1	1
72	не только не	2	1
73	и те же	1	1
74	ни о каком	1	1
75	в связь с	1	1
76	но все же	2	1
77	но и по	1	1
78	в этом смысле	1	1
79	и быть не	1	1
80	что как раз	1	1
81	и что он	1	1
82	потому что оно	1	1
83	и т д	6	1
84	в том что	16	1
85	само собою разумеется	2	1
86	как говорит об	1	1
