N	3gram	Voloshinov_1	Sovremen
1	друг с другом	1	2
2	и той же	2	1
3	в этом случае	3	1
4	дело идет о	1	1
5	в отличие от	5	1
6	так же как	2	1
7	теперь мы должны	2	1
8	точки зрения и	1	1
9	одной и той	2	1
10	в то же	3	1
11	на этот вопрос	3	1
12	все это делает	1	1
13	прежде всего необходимо	1	1
14	в предыдущей главе	1	1
15	с одной стороны	1	1
16	главного представителя современного	1	1
17	совершенно независимо от	2	1
18	как мы видим	1	1
19	совершенно так же	1	1
20	и тот же	3	1
21	в том что	3	1
22	же этот процесс	1	1
23	все более и	1	1
24	в свою очередь	2	1
25	состоит из двух	1	1
26	что в каждом	1	1
27	то же самое	3	1
28	в результате мы	1	1
29	то же время	3	1
30	более и более	1	1
31	один и тот	3	1
32	не может быть	13	1
