N	2gram	Propp_Isto_2	Sovremen
1	не может	5	17
2	может быть	17	12
3	таким образом	7	11
4	мы не	3	9
5	в этом	11	7
6	не можем	1	7
7	и в	15	7
8	мы можем	8	6
9	ничего не	7	6
10	как и	2	6
11	и не	11	6
12	в результате	1	6
13	только одна	1	6
14	и наконец	5	5
15	все эти	4	5
16	что же	1	5
17	прежде всего	5	5
18	в дальнейшем	1	4
19	в зависимости	1	4
20	вопрос о	4	4
21	зависимости от	1	4
22	мы должны	4	4
23	в том	6	4
24	в целом	1	4
25	если мы	1	4
26	из них	2	4
27	так как	14	4
28	мы видели	2	4
29	не только	18	4
30	как бы	6	4
31	вместе с	7	4
32	это не	2	4
33	их в	2	4
34	а в	12	4
35	он может	1	3
36	с самого	2	3
37	то же	10	3
38	видели что	3	3
39	отнюдь не	1	3
40	все же	9	3
41	еще не	9	3
42	но в	6	3
43	он в	3	3
44	в этой	4	3
45	в себе	4	3
46	уже в	2	3
47	как он	3	3
48	что она	5	3
49	в одном	5	3
50	в нем	7	3
51	при этом	4	3
52	на этой	2	3
53	было бы	5	3
54	а не	5	3
55	и потому	1	3
56	не в	7	3
57	все это	3	3
58	самого начала	2	3
59	при таком	1	3
60	не подлежит	1	3
61	одна из	2	3
62	для нас	4	3
63	в системе	2	3
64	у нас	1	3
65	и к	1	3
66	когда мы	2	3
67	следующим образом	1	3
68	как мы	1	2
69	и есть	5	2
70	приводит к	2	2
71	роль в	3	2
72	той же	2	2
73	говорить о	1	2
74	и что	6	2
75	и во	1	2
76	самом деле	2	2
77	через некоторое	1	2
78	в его	6	2
79	может иметь	1	2
80	с этим	5	2
81	дает нам	2	2
82	быть и	1	2
83	некоторое время	2	2
84	в самом	1	2
85	к чему	2	2
86	в которой	2	2
87	не будем	4	2
88	что это	6	2
89	из этих	3	2
90	с одной	4	2
91	и они	4	2
92	уже не	1	2
93	так сказать	2	2
94	с другом	1	2
95	на его	2	2
96	тем не	1	2
97	мы знаем	11	2
98	этой стадии	2	2
99	у него	4	2
100	и по	2	2
101	отличие от	1	2
102	ее на	1	2
103	но все	5	2
104	известных нам	1	2
105	в некоторых	2	2
106	и пр	7	2
107	а на	1	2
108	такой же	2	2
109	свою собственную	1	2
110	что такое	1	2
111	он должен	2	2
112	в отличие	1	2
113	знаем что	12	2
114	это за	2	2
115	друг с	1	2
116	же мы	2	2
117	не менее	1	2
118	можно назвать	1	2
119	на котором	2	2
120	мы этого	1	2
121	и именно	2	2
122	не знаем	1	2
123	этих двух	1	2
124	в науке	1	2
125	но очень	2	2
126	еще более	1	2
127	мы видим	8	2
128	тот же	1	2
129	в свою	1	2
130	такие же	1	2
131	не могут	1	2
132	могут быть	2	2
133	что при	5	2
134	что в	12	2
135	только одну	1	2
136	если же	1	2
137	в таком	1	2
138	а может	1	1
139	и наиболее	1	1
140	должен быть	1	1
141	и это	3	1
142	можно говорить	1	1
143	совпадают с	1	1
144	на куски	4	1
145	в объяснении	1	1
146	то она	1	1
147	как происходит	1	1
148	с ее	2	1
149	на другой	2	1
150	на самом	2	1
151	нескольких дней	1	1
152	это и	1	1
153	отношению к	3	1
154	так в	3	1
155	не имеют	1	1
156	что такой	1	1
157	то нужно	1	1
158	из двенадцати	1	1
159	можно было	5	1
160	только тот	1	1
161	и могут	1	1
162	мы уже	6	1
163	их и	1	1
164	есть не	1	1
165	раз он	1	1
166	здесь нет	2	1
167	мы имеем	15	1
168	же как	5	1
169	это только	2	1
170	теперь мы	1	1
171	мы в	2	1
172	сторона дела	2	1
173	что иное	2	1
174	и действительно	1	1
175	для наших	2	1
176	то они	1	1
177	о том	3	1
178	в ней	4	1
179	не соответствует	2	1
180	одного из	1	1
181	она всегда	3	1
182	он сам	1	1
183	иное как	2	1
184	что его	1	1
185	это означало	1	1
186	его в	10	1
187	с его	1	1
188	во всех	2	1
