N	2gram	Ircho_Kome_1	BTomashe
1	у нас	3	3
2	и не	8	2
3	больше чем	1	2
4	все это	5	2
5	в ней	1	2
6	видеть в	2	2
7	можно было	1	2
8	стр и	2	2
9	об исторических	1	1
10	же не	1	1
11	за пределы	2	1
12	остановиться на	1	1
13	по мотивам	1	1
14	также что	1	1
15	говорить о	1	1
16	бы только	1	1
17	будто бы	2	1
18	об этом	1	1
19	и в	22	1
20	и о	3	1
21	к ней	2	1
22	следовало бы	1	1
23	что все	1	1
24	по богатству	1	1
25	говорить не	1	1
26	с другой	5	1
27	на самом	1	1
28	как будто	2	1
29	не следует	2	1
30	было бы	2	1
31	все же	3	1
32	всяком случае	2	1
33	было и	1	1
34	еще не	2	1
35	и на	3	1
36	по меньшей	2	1
37	одной из	3	1
38	в значительной	1	1
39	прежде всего	5	1
40	в данном	1	1
41	и во	2	1
42	так и	5	1
43	в книге	1	1
44	из своей	2	1
45	совершенно не	1	1
46	далеко не	1	1
47	всего в	3	1
48	до конца	2	1
49	нельзя не	2	1
50	что в	6	1
51	в области	2	1
52	другой стороны	5	1
53	меньшей мере	2	1
54	и ее	3	1
55	не все	1	1
56	так по	1	1
57	исторических условиях	1	1
58	отнюдь не	1	1
59	таким образом	8	1
60	вопрос о	3	1
61	и более	1	1
62	и потому	1	1
63	не только	10	1
64	значительной степени	1	1
65	во всяком	2	1
