N	2gram	Bakhtin_Fr_4	Retstnzi
1	не может	2	4
2	и в	29	3
3	один из	4	2
4	если в	2	2
5	нет и	1	1
6	в особенности	2	1
7	и не	16	1
8	не только	10	1
9	связи с	2	1
10	бы на	2	1
11	точки зрения	4	1
12	конечно и	3	1
13	во второй	2	1
14	но и	9	1
15	и должно	1	1
16	в системе	1	1
17	именно с	1	1
18	в ней	3	1
19	становится особенно	1	1
20	превращается у	1	1
21	на месте	1	1
22	в то	10	1
23	с точки	2	1
24	истории но	1	1
25	и на	11	1
26	это направление	2	1
27	для него	1	1
28	мы видим	3	1
29	влияния на	1	1
30	на нее	1	1
31	и откликов	1	1
32	второй части	1	1
33	к тому	2	1
34	откликов на	1	1
35	может быть	2	1
36	при анализе	1	1
37	вполне понятно	1	1
38	всех участников	1	1
39	в его	8	1
40	книги о	1	1
41	он в	1	1
42	же время	8	1
43	то же	10	1
44	и все	13	1
45	если бы	1	1
