N	4gram	Vinokur_Vv_1	Istorich
1	и т д все	2	3
2	и тем не менее	3	2
3	дело в том что	2	2
4	на этот вопрос мы	1	2
5	бы то ни было	1	2
6	то же самое что	2	2
7	т д все это	1	1
8	с одной стороны и	3	1
9	вопрос о том какие	1	1
10	и т д а	2	1
11	какой бы то ни	1	1
12	и в этом смысле	1	1
13	говоря уже о том	1	1
14	не что иное как	4	1
15	не говоря уже о	1	1
16	в соответствии с этим	1	1
17	уже о том что	1	1
18	т д все эти	1	1
19	быта и т д	2	1
20	в большей или меньшей	1	1
21	и т д мы	1	1
22	большей или меньшей степенью	1	1
23	ответ на этот вопрос	1	1
24	в том отношении что	3	1
25	с другой стороны как	1	1
26	есть не что иное	2	1
