1	в том что	6	11
2	в то же	9	5
3	то же время	9	5
4	не только в	2	4
5	в данном случае	2	4
6	этой точки зрения	1	3
7	может быть это	1	3
8	в этом отношении	3	2
9	дело в том	1	2
10	с точки зрения	13	2
11	культуры нового времени	1	2
12	во всяком случае	3	2
13	по отношению к	8	2
14	для своего времени	1	2
15	подобно тому как	3	2
16	о том что	1	2
17	несмотря на свою	1	1
18	не в одном	1	1
19	а потому и	1	1
20	и в частности	1	1
21	к прошлому и	1	1
22	по ту сторону	2	1
23	чужую личность не	1	1
24	быть не может	1	1
25	в лучшем случае	2	1
26	становится одним из	1	1
27	сознания с его	1	1
28	на первый взгляд	1	1
29	то ни было	1	1
30	бы ни были	1	1
31	в художественном мире	2	1
32	перед нами не	1	1
33	себя самого как	1	1
34	к себе самому	1	1
35	а не только	1	1
36	как один из	1	1
37	с самого начала	1	1
38	то что я	1	1
39	что он сам	1	1
40	как бы во	1	1
41	в романе достоевского	5	1
42	том что он	4	1
43	у достоевского всегда	1	1
44	в отношении к	1	1
45	какой бы то	1	1
46	тем что в	1	1
47	в зависимости от	5	1
48	а не как	4	1
49	можно было бы	2	1
50	как раз и	3	1
51	в сущности не	1	1
52	именно в том	1	1
53	героя с его	1	1
54	по крайней мере	1	1
55	но только в	1	1
56	не может быть	4	1
57	и уже не	1	1
58	может быть назван	1	1
59	по этому пути	1	1
60	для него в	1	1
61	если оно верно	1	1
62	на самом деле	4	1
63	в самом деле	2	1
64	в свою очередь	1	1
65	себе самому и	1	1
66	но все же	2	1
67	в полной мере	1	1
68	как и всякое	1	1
69	нормативного сознания и	1	1
70	в другом месте	1	1
71	бы то ни	2	1
72	с другой стороны	3	1
73	в один из	1	1
74	в целом ряде	2	1
75	между тем как	4	1
76	но в то	5	1
77	же время не	3	1
78	не столько в	1	1
79	тех или иных	1	1
80	в большинстве случаев	2	1
81	и в этом	5	1
82	мира в его	2	1
83	только то что	2	1
84	резко отличается от	1	1
85	до сих пор	2	1
