N	3gram	Vinokur_St_1	formyVre
1	то же время	4	9
2	и т п	9	8
3	в то же	4	6
4	и в то	1	5
5	для того чтобы	10	5
6	и в других	1	4
7	как раз в	2	4
8	в том числе	2	4
9	нашей точки зрения	1	3
10	по отношению к	3	3
11	до сих пор	7	3
12	в этом отношении	7	3
13	прежде всего необходимо	1	3
14	с нашей точки	1	3
15	не может быть	5	3
16	в то время	2	3
17	в каком же	1	2
18	но все же	3	2
19	одних и тех	1	2
20	само собой разумеется	1	2
21	дело в том	4	2
22	также и в	1	2
23	в соответствии с	1	2
24	же как и	1	2
25	с точки зрения	8	2
26	но и в	2	2
27	ни в чем	1	2
28	том числе и	2	2
29	и тех же	1	2
30	что в таком	1	2
31	то время как	1	2
32	так же как	3	2
33	не только в	4	2
34	с одной стороны	2	2
35	может быть и	2	2
36	и во всей	1	2
37	в какой-то степени	1	2
38	а также и	2	2
39	собой разумеется что	1	2
40	со всеми его	1	2
41	но все эти	1	2
42	той или иной	1	2
43	в том что	17	2
44	как и в	2	2
45	до сегодняшнего дня	1	1
46	в другом месте	1	1
47	на том что	1	1
48	да и в	2	1
49	в той или	1	1
50	том что в	3	1
51	а вовсе не	1	1
52	в самом деле	5	1
53	в том же	1	1
54	всей его жизни	1	1
55	потому что не	1	1
56	т п но	1	1
57	в зависимости от	1	1
58	сами по себе	1	1
59	надо сказать что	1	1
60	в той же	2	1
61	что в нем	2	1
62	их и не	1	1
63	говорит о том	2	1
64	в это время	1	1
65	в данном месте	2	1
66	время или в	1	1
67	в данном случае	6	1
68	но в то	2	1
69	тот факт что	1	1
70	смысле этого слова	1	1
71	так и в	4	1
72	и в этом	3	1
73	же время оно	1	1
74	вовсе не является	1	1
75	во всяком случае	6	1
76	он не знает	1	1
77	как в самом	1	1
78	было бы не	2	1
79	и в том	2	1
80	и гораздо более	1	1
81	во всех этих	1	1
82	сих пор не	1	1
83	что и у	1	1
84	лишь то что	1	1
85	из того же	1	1
86	быть и речи	1	1
87	в этом случае	2	1
88	о том что	11	1
89	и в самом	3	1
90	и речи об	1	1
91	мы говорим о	1	1
92	но дело в	1	1
93	так как по	1	1
94	дело не только	1	1
95	этот вопрос в	1	1
96	на одну минуту	1	1
