N	3gram	Trubetskoy_1	Tragedij
1	то же время	2	5
2	в то же	2	5
3	так и в	1	3
4	в отличие от	1	2
5	точно так же	3	2
6	в данном случае	1	2
7	но в то	1	2
8	между этими двумя	2	2
9	о том что	4	2
10	но все же	4	2
11	в том что	3	2
12	а между тем	1	1
13	на все усилия	1	1
14	пустоту и потому	1	1
15	связан и с	1	1
16	же время он	1	1
17	не вполне ясно	1	1
18	все это мы	1	1
19	одном из своих	1	1
20	в мире при	1	1
21	все эти черты	1	1
22	во всяком случае	6	1
23	в конце концов	3	1
24	смысле этого слова	1	1
25	но при этом	1	1
26	обстоит дело с	1	1
27	и в этом	2	1
28	по сравнению с	2	1
29	тем не менее	3	1
30	любви ко всему	1	1
31	что в таком	1	1
32	в связи с	3	1
33	то что он	2	1
34	и даже некоторые	1	1
35	не может быть	1	1
36	уместно вспомнить что	1	1
37	и все же	1	1
38	но в конце	1	1
39	нет в нем	1	1
40	и вместе с	4	1
41	это и есть	1	1
42	в одном из	1	1
43	с самого начала	2	1
44	не только не	1	1
45	ничего подобного нет	1	1
46	в самом деле	1	1
47	так обстоит дело	1	1
48	несмотря на все	1	1
49	с тем и	2	1
50	после того как	1	1
51	может быть в	1	1
