N	4gram	Tiupa_Lite_1	Analitik
1	состоит в том что	4	4
2	в то же время	5	2
3	субъекта объекта и адресата	1	2
4	внутреннего я во внешнем	1	1
5	в конечном счете к	1	1
6	нет я не байрон	2	1
7	я не байрон я	2	1
8	не байрон я другой	2	1
9	лермонтовское нет я не	1	1
10	ср лермонтовское нет я	1	1
11	человеческого я в мире	1	1
12	с этой точки зрения	3	1
13	субъекта и эстетического адресата	1	1
14	как это ни парадоксально	1	1
15	эстетического субъекта и эстетического	1	1
16	креативного и рецептивного сознаний	1	1
17	не оставляет места и	1	1
18	отношения между я и	1	1
19	одним и тем же	1	1
20	в рамках определенной культурной	1	1
21	автора героя и читателя	1	1
