N	3gram	Nazirov_Tr_1	Problemy
1	в то же	5	12
2	то же время	5	12
3	с самого начала	1	8
4	по замыслу достоевского	2	7
5	и т п	1	6
6	не может быть	1	6
7	во всяком случае	1	5
8	в братьях карамазовых	1	3
9	но в то	2	3
10	в конце концов	1	3
11	а между тем	1	3
12	в мире достоевского	1	3
13	и в самом	2	3
14	в самом деле	1	3
15	в высшей степени	1	3
16	о том что	2	2
17	что все это	1	2
18	так и в	3	2
19	я не хочу	1	2
20	и в этом	1	2
21	и с другим	1	2
22	потому что сам	1	2
23	хотя бы и	1	2
24	смысле этого слова	1	2
25	в этом случае	1	2
26	и не может	1	2
27	записках из подполья	1	2
28	в отличие от	2	2
29	в записках из	2	2
30	тем не менее	1	2
31	не в силах	2	2
32	как и все	1	2
33	о чем он	2	1
34	в чем же	1	1
35	он вообще не	1	1
36	с первого же	2	1
37	как и в	1	1
38	не только не	1	1
39	и если б	1	1
40	у него нет	1	1
41	это как бы	1	1
42	на всем протяжении	1	1
43	а как самоцель	1	1
44	же время он	1	1
45	к тому что	1	1
46	быть по замыслу	1	1
47	что он не	1	1
48	и петра верховенского	1	1
49	в том что	2	1
50	между этими двумя	2	1
51	и как бы	2	1
52	и то в	1	1
53	как и его	1	1
54	за то что	1	1
55	мы бы сказали	1	1
56	то что он	1	1
57	и то что	1	1
58	если б я	1	1
59	к ивану карамазову	1	1
60	но в конце	1	1
61	вам ничего не	1	1
62	может быть не	1	1
63	и до конца	1	1
64	в исповеди ставрогина	1	1
65	в самом тоне	1	1
66	и вместе с	1	1
67	но все же	2	1
68	в виде отдельных	1	1
69	но при этом	1	1
70	и пусть пусть	1	1
71	ориентацией в мире	1	1
72	понятно что в	1	1
73	же время с	1	1
74	в данном случае	2	1
75	петра верховенского с	1	1
