N	3gram	Tiupa_Vved_1	UchenyiS
1	в конечном счете	1	4
2	не может быть	3	4
3	с другой стороны	1	3
4	то же время	3	3
5	в то же	4	3
6	в этом смысле	1	2
7	то же самое	1	2
8	в этом отношении	4	2
9	в том что	3	2
10	в противном случае	1	2
11	по крайней мере	1	2
12	другой стороны в	1	1
13	не в том	1	1
14	все же не	1	1
15	более или менее	2	1
16	большей или меньшей	1	1
17	в этом случае	1	1
18	и в то	1	1
19	это не вполне	1	1
20	к которой принадлежит	1	1
21	не входит в	1	1
22	само по себе	1	1
23	не было бы	1	1
24	в последние годы	1	1
25	но это не	1	1
26	и прежде всего	1	1
27	не о чем	1	1
28	можно сказать что	1	1
29	на то что	1	1
30	а не только	1	1
31	в данном случае	6	1
32	не только в	2	1
33	с одной стороны	5	1
34	на первый взгляд	1	1
