N	2gram	Losev_Vesc_1	Vvedenie
1	и т	19	42
2	т д	19	36
3	т е	55	35
4	и в	21	32
5	в том	8	31
6	в этом	4	30
7	том что	8	26
8	может быть	16	26
9	не только	36	22
10	для того	2	21
11	того чтобы	3	20
12	таким образом	8	19
13	также и	6	18
14	то что	27	16
15	потому что	16	15
16	так как	7	15
17	не может	17	14
18	в самом	9	13
19	в нем	2	13
20	о том	6	13
21	со стороны	5	13
22	в общем	1	12
23	в его	2	12
24	того что	8	12
25	только в	14	12
26	и не	29	12
27	как мы	4	11
28	в ее	7	11
29	ясно что	8	11
30	в данном	5	11
31	что такое	12	11
32	что в	9	10
33	то же	6	9
34	в истории	1	9
35	и как	8	9
36	но в	5	9
37	по себе	13	9
38	в той	3	9
39	а только	3	8
40	это не	5	8
41	не в	5	8
42	тем не	3	8
43	не менее	3	8
44	с другой	6	8
45	именно в	1	8
46	самом деле	4	7
47	вопрос о	1	7
48	но не	5	7
49	все же	4	7
50	было бы	14	7
51	точки зрения	5	7
52	уже и	1	7
53	в применении	1	7
54	можно было	2	7
55	как нечто	2	7
56	прежде всего	9	7
57	о котором	1	7
58	только как	1	7
59	и это	14	6
60	в принципиальном	1	6
61	из этих	1	6
62	том чтобы	1	6
63	его в	2	6
64	с тем	5	6
65	как и	8	6
66	представить себе	1	6
67	вовсе не	10	6
68	в то	3	6
69	в качестве	1	6
70	тем что	2	6
71	о природе	1	6
72	один из	3	6
73	этот вопрос	1	6
74	и его	2	6
75	в руки	2	6
76	и даже	6	6
77	до сих	1	6
78	но и	18	6
79	а именно	1	6
80	применении к	2	6
81	сих пор	1	6
82	все это	5	6
83	хотя бы	6	6
84	xviii в	1	6
85	мере в	1	5
86	иное как	7	5
87	об этом	3	5
88	и тем	3	5
89	данном случае	2	5
90	но если	8	5
91	сказать что	17	5
92	могут быть	1	5
93	быть в	1	5
94	так что	5	5
95	уже в	1	5
96	не есть	49	5
97	что не	5	5
98	на этот	1	5
99	а не	19	5
100	она есть	8	5
101	в течение	1	5
102	как бы	12	5
103	другой стороны	2	5
104	есть и	4	5
105	вместе с	1	5
106	связана с	1	4
107	и то	10	4
108	как это	2	4
109	в чисто	1	4
110	в первом	2	4
111	той же	2	4
112	в и	2	4
113	мы имеем	7	4
114	что иное	7	4
115	не просто	19	4
116	независимо от	5	4
117	от этого	2	4
118	уже не	9	4
119	так или	4	4
120	в себе	14	4
121	но ведь	2	4
122	истории и	2	4
123	должен был	1	4
124	в своей	5	4
125	в котором	3	4
126	по сравнению	7	4
127	по крайней	4	4
128	в разных	4	4
129	только с	3	4
130	это только	1	4
131	на вопрос	1	4
132	времени и	1	4
133	внимание на	1	4
134	и что	15	4
135	крайней мере	4	4
136	как она	4	4
137	еще не	8	4
138	к делу	2	4
139	что он	1	4
140	и ее	18	4
141	с одной	3	4
142	в виде	1	4
143	одно из	1	4
144	всяком случае	2	4
145	само по	1	4
146	как раз	9	4
147	этом отношении	1	4
148	даже и	4	4
149	в особенности	1	4
150	одной стороны	3	4
151	или иначе	4	4
152	еще и	8	4
153	е в	7	4
154	о чем	1	4
155	сравнению с	6	4
156	с этой	4	4
157	и для	9	4
158	только что	2	4
159	а в	4	4
160	не что	7	4
161	во всяком	3	4
162	и есть	26	3
163	собственном смысле	3	3
164	в сущности	4	3
165	так чтобы	2	3
166	говорить о	6	3
167	не вполне	2	3
168	то это	3	3
169	в виду	2	3
170	и этого	2	3
171	в различных	1	3
172	в чем	6	3
173	сама по	3	3
174	стороны и	2	3
175	однако не	2	3
176	хотя и	4	3
177	и к	1	3
178	бы и	5	3
179	что это	13	3
180	все эти	3	3
181	в этой	3	3
182	что она	15	3
183	как оно	3	3
184	при этом	1	3
185	если бы	5	3
186	вообще не	2	3
187	свое время	2	3
188	смысле как	1	3
189	на этом	2	3
190	всего то	2	3
191	на этой	1	3
192	заключается в	1	3
193	в свое	2	3
194	и уже	1	3
195	мы видели	1	3
196	нисколько не	4	3
197	со всей	2	3
198	в этих	1	3
199	от себя	1	3
200	и вот	2	3
201	есть еще	3	3
202	однако в	1	3
203	тогда когда	5	3
204	дело в	4	3
205	дело не	2	3
206	своей природе	1	3
207	как будто	1	3
208	языка в	1	3
209	себе что	3	3
210	должен быть	2	3
211	в ней	12	3
212	в в	2	3
213	в собственном	2	3
214	вот почему	3	3
215	язык и	1	3
216	как науки	1	3
217	можно сказать	6	3
218	а также	1	3
219	или как	2	3
220	к нему	1	3
221	знания и	1	3
