N	3gram	Propp_Russ_1	FransuaR
1	как мы уже	1	6
2	о том что	4	5
3	в большинстве случаев	2	4
4	в этом отношении	1	3
5	в этой роли	1	2
6	сказать что в	1	2
7	никак не может	1	2
8	с точки зрения	3	2
9	как мы увидим	5	2
10	в данном случае	1	2
11	во всех этих	1	2
12	в том что	15	2
13	значение и было	1	1
14	то есть когда	1	1
15	и того же	1	1
16	по отношению к	1	1
17	с таким же	1	1
18	с тем и	2	1
19	по этому вопросу	1	1
20	том что в	6	1
21	из этих четырех	1	1
22	в настоящее время	3	1
23	но это все	1	1
24	и не только	1	1
25	целом ряде других	1	1
26	в этот день	8	1
27	на самом же	1	1
28	в себе и	1	1
29	одном из своих	1	1
30	на этот вопрос	1	1
31	мы не будем	2	1
32	говорит о том	1	1
33	вместе с тем	6	1
34	некоторые из них	1	1
35	границы между двумя	1	1
36	не может так	1	1
37	так как они	2	1
38	мы видим что	1	1
39	в некоторых местах	1	1
40	и как бы	1	1
41	на весь мир	1	1
42	все же не	2	1
43	это все же	1	1
44	в связи с	4	1
45	друг к другу	2	1
46	в целом ряде	1	1
47	потому что они	1	1
48	в то время	1	1
49	те из них	1	1
50	после того как	2	1
51	в одном из	1	1
52	не только в	1	1
53	но все же	2	1
54	можно сказать что	1	1
55	как мы видим	1	1
56	одного и того	1	1
57	она как мы	1	1
58	так и у	1	1
59	и в другие	3	1
60	начиная с xvii	1	1
61	в особенности же	1	1
62	самом же деле	1	1
63	что и в	1	1
