N	3gram	Ircho_Kome_2	KulturaY
1	и т п	2	24
2	в том что	5	10
3	можно было бы	2	9
4	с точки зрения	1	8
5	для того чтобы	4	8
6	в самом деле	1	7
7	то обстоятельство что	1	7
8	с другой стороны	1	7
9	только потому что	2	6
10	в этом смысле	2	5
11	во всяком случае	2	5
12	само по себе	1	5
13	тем не менее	1	5
14	в этой области	1	4
15	не только в	1	4
16	не может быть	1	4
17	точно так же	1	3
18	в связи с	3	3
19	то же время	3	3
20	в то же	3	3
21	сплошь да рядом	1	2
22	не говоря уже	2	2
23	в соответствии с	1	2
24	только в том	1	2
25	говоря уже о	2	2
26	том случае если	1	2
27	в наше время	1	2
28	и вовсе не	1	2
29	вместе с тем	4	2
30	в том случае	1	2
31	в отличие от	2	2
32	строить свою речь	1	2
33	и в том	1	2
34	что касается женской	1	2
35	в свою очередь	1	2
36	того или иного	1	2
37	и в самом	1	2
38	но все же	1	2
39	так или иначе	3	2
40	признаки по которым	1	1
41	я думаю что	1	1
42	в голову не	1	1
43	как это видно	1	1
44	нет и в	1	1
45	чуть ли не	2	1
46	возможно что в	1	1
47	таким же образом	1	1
48	мы употребляем это	1	1
49	более широкое значение	1	1
50	под тем же	1	1
51	так и более	1	1
52	и в голову	1	1
53	что само по	1	1
54	до сих пор	2	1
55	голову не приходит	1	1
56	что он не	1	1
57	для этой цели	1	1
58	бы то ни	2	1
59	в первую очередь	3	1
60	не было бы	1	1
61	что это такое?	1	1
62	но и здесь	1	1
63	в последние десятилетия	3	1
64	тех пор пока	1	1
65	почти ни одна	1	1
66	и с этой	2	1
67	на это дает	1	1
68	то время как	2	1
69	то ни было	2	1
70	с одной стороны	2	1
71	ответ на это	1	1
72	не более чем	2	1
73	по сравнению с	1	1
74	едва ли не	5	1
75	всю свою жизнь	1	1
76	мере в какой	1	1
77	вместо того чтобы	1	1
78	в достаточной степени	1	1
79	до тех пор	3	1
80	в то время	3	1
81	мы имели бы	1	1
82	связи с этим	1	1
83	о том что	4	1
84	это что это	1	1
85	с самого начала	1	1
86	речь идет о	2	1
87	в большинстве случаев	1	1
88	после того как	2	1
89	к тому что	2	1
90	можно ручаться что	1	1
91	этом смысле исключения	2	1
92	это имело место	1	1
93	к тому же	10	1
94	как мы знаем	1	1
95	как мы видели	1	1
