N	2gram	Savitsky_E_1	NovoeSre
1	а не	2	17
2	и в	37	16
3	не может	9	16
4	и не	14	11
5	истории и	1	9
6	что в	21	9
7	как не	2	8
8	в том	11	8
9	жизни и	2	8
10	он не	2	8
11	культуры и	2	7
12	в этом	12	7
13	в новой	1	7
14	может быть	6	7
15	не будет	3	7
16	как и	7	7
17	это есть	1	7
18	с его	1	6
19	не в	5	6
20	никогда не	3	6
21	лишь в	1	6
22	но это	1	6
23	с ее	1	5
24	в ней	4	5
25	истории в	1	5
26	культуры в	4	5
27	и к	3	5
28	не только	18	5
29	в жизни	1	5
30	в нем	1	5
31	большую роль	1	4
32	быть может	1	4
33	о том	3	4
34	и мы	3	4
35	xix и	1	4
36	мировой войны	1	4
37	античного мира	1	4
38	в них	3	4
39	то что	6	4
40	прежде всего	9	4
41	не было	1	4
42	должно быть	1	4
43	и потому	5	4
44	по своему	7	4
45	значит что	1	4
46	не менее	1	4
47	и для	3	4
48	не имеет	4	4
49	и все	2	4
50	потому что	3	4
51	с другой	7	3
52	в ее	8	3
53	должна быть	2	3
54	вопрос о	4	3
55	во всех	6	3
56	за пределы	1	3
57	в истории	2	3
58	наряду с	2	3
59	как в	3	3
60	конечно не	1	3
61	не значит	1	3
62	к ним	3	3
63	в мире	2	3
64	но и	14	3
65	не есть	2	3
66	не означает	2	3
67	с тем	3	3
68	старого мира	1	3
69	в своей	8	3
70	к жизни	1	3
71	в россии	5	3
72	в прошлом	3	3
73	она не	2	3
74	революции и	1	3
75	в основе	1	3
76	жизни в	3	3
77	к тому	8	3
78	сказать что	4	3
79	и это	1	2
80	же как	5	2
81	связана с	1	2
82	силы и	1	2
83	время как	1	2
84	на путях	4	2
85	ведь и	2	2
86	к созданию	1	2
87	можно было	3	2
88	так и	10	2
89	мы не	4	2
90	мира и	3	2
91	и с	2	2
92	для этого	1	2
93	будет уже	1	2
94	и что	2	2
95	и на	6	2
96	много ли	1	2
97	быть в	1	2
98	времени в	1	2
99	но не	5	2
100	в новом	1	2
101	в свои	2	2
102	в центре	1	2
103	с этим	2	2
104	xix век	1	2
105	помнить что	2	2
106	хотя и	2	2
107	но в	14	2
108	который в	1	2
109	все эти	1	2
110	с одной	8	2
111	думать что	8	2
112	с их	1	2
113	есть в	2	2
114	в себе	9	2
115	права и	1	2
116	уже не	1	2
117	и революции	2	2
118	не будут	1	2
119	не к	2	2
120	что все	2	2
121	и даже	6	2
122	на уровне	2	2
123	государство и	1	2
124	этом смысле	3	2
125	и творчества	2	2
126	зависит от	1	2
127	духовной жизни	2	2
128	и было	1	2
129	том что	6	2
130	вместе с	2	2
131	так же	9	2
132	хозяйственной жизни	4	2
133	место в	3	2
134	одной стороны	8	2
135	другой стороны	2	2
136	в духовной	1	2
137	как будто	2	2
138	возвращается к	1	2
139	войны и	2	2
140	как это	4	2
141	призыв к	1	2
142	такой же	2	2
143	в смысле	9	2
144	в то	16	2
145	одна из	1	2
146	в мировой	1	2
147	того чтобы	6	2
148	и от	3	2
149	в русском	1	2
150	хотя бы	15	2
151	а в	2	2
152	в будущем	3	2
153	ли это	3	2
154	когда мы	1	2
155	могут быть	2	2
156	и культуры	1	2
157	можно назвать	1	2
158	нужно помнить	1	1
159	применить к	1	1
160	также что	1	1
161	оно может	1	1
162	их будет	1	1
163	людей в	1	1
164	для себя	1	1
165	не уходит	2	1
166	россии в	4	1
167	перед лицом	1	1
168	этого мира	1	1
169	что само	1	1
170	по преимуществу	2	1
171	и до	1	1
172	на западе	1	1
173	культуре и	1	1
174	и этот	2	1
175	культурной и	1	1
176	с собой	1	1
177	процессы направленные	1	1
178	по природе	1	1
179	во многом	2	1
180	господствующей в	1	1
181	еще в	1	1
182	не ко	1	1
183	к тем	1	1
184	изменение ее	1	1
185	запада и	1	1
186	к состоянию	1	1
187	с ним	1	1
188	можно сказать	4	1
189	говорить о	1	1
190	на себя	3	1
191	суждения не	1	1
192	и другая	2	1
193	это должно	1	1
194	то это	1	1
195	имеет реальное	1	1
196	не способен	1	1
197	германии во	1	1
198	более высокой	1	1
199	эпох и	1	1
200	на них	2	1
201	и русской	1	1
202	что его	1	1
203	не понимали	1	1
204	и во	2	1
205	не могут	2	1
206	в которую	1	1
207	к нему	2	1
208	россии и	3	1
209	древнего египта	1	1
210	переходит в	1	1
211	значение и	1	1
212	в его	2	1
213	отличие от	1	1
214	и только	3	1
215	востока и	2	1
216	которая должна	1	1
217	которые они	2	1
218	культур и	3	1
219	той социальной	1	1
220	значение для	1	1
221	народов и	3	1
222	нужно признать	1	1
223	в значительной	2	1
224	перешла от	1	1
225	к которому	1	1
226	в своем	14	1
227	известном смысле	3	1
228	в формах	1	1
229	что нет	1	1
230	новый мир	2	1
231	борьбы за	1	1
232	направленные к	1	1
233	а блок	1	1
234	положения он	1	1
235	только в	9	1
236	во всем	1	1
237	по своей	2	1
238	от этого	5	1
239	в этот	1	1
240	от европы	1	1
241	то нет	1	1
242	время нужно	1	1
243	в самом	4	1
244	то время	1	1
245	он в	1	1
246	в известном	3	1
247	для всех	1	1
248	мира то	2	1
249	мира но	2	1
250	уже в	1	1
251	в большинстве	2	1
252	все ее	1	1
253	вообще не	3	1
254	от других	1	1
255	большинстве случаев	3	1
256	своем развитии	1	1
257	все другие	2	1
258	из них	3	1
259	все еще	1	1
260	мир в	1	1
261	для того	6	1
262	и их	1	1
263	всяком случае	3	1
264	и когда	1	1
265	жизнью и	1	1
266	в существе	2	1
267	последние годы	3	1
268	характерным для	1	1
269	бытия и	1	1
270	тем что	3	1
271	заключает в	3	1
272	к той	2	1
273	от того	1	1
274	перед ними	1	1
275	но все	1	1
276	значительной степени	1	1
277	от нее	1	1
278	может остаться	1	1
279	это значит	2	1
280	от мирового	1	1
281	культуры но	2	1
282	в последние	6	1
283	значение в	1	1
284	будущее принадлежит	1	1
285	том случае	1	1
286	во власти	2	1
287	групп и	1	1
288	выходит за	1	1
289	в глубине	1	1
290	из всех	3	1
291	мира против	1	1
292	в будущее	2	1
293	с другими	2	1
294	к природе	2	1
295	нельзя сказать	1	1
296	в человечестве	1	1
297	было бы	8	1
298	в каких	1	1
299	лишь на	1	1
300	небесный свод	1	1
301	весь мир	1	1
302	мирового экономического	1	1
303	в отличие	1	1
304	что не	1	1
305	к расширению	1	1
306	обратиться к	1	1
307	для них	2	1
308	связано с	3	1
309	культура древнего	1	1
310	и германии	2	1
311	а на	1	1
312	в этой	2	1
313	с большей	1	1
314	не на	4	1
315	власти и	1	1
316	не быть	1	1
317	отказаться от	1	1
318	долгое время	2	1
319	человеческой жизни	1	1
320	она неизбежно	1	1
321	что мы	1	1
322	всех великих	1	1
323	степени общим	1	1
324	и того	2	1
325	ближе к	1	1
326	одного и	1	1
327	перед собой	1	1
328	и еще	2	1
329	эту эпоху	1	1
330	в эту	2	1
331	в этих	2	1
332	но если	5	1
333	и сейчас	2	1
334	в такой	1	1
335	настоящего и	1	1
336	в котором	2	1
337	и процесс	1	1
338	рода и	1	1
339	установить что	1	1
340	дальнейшее развитие	1	1
341	у нас	1	1
342	в силу	2	1
343	и эмпирическая	1	1
344	от истоков	1	1
345	хозяйства и	2	1
346	в другие	1	1
347	творчества и	1	1
348	эту мысль	1	1
349	переход культуры	1	1
350	в предчувствии	1	1
351	мы должны	2	1
352	и более	2	1
353	в человеческом	1	1
354	в состоянии	1	1
355	том смысле	1	1
356	по себе	4	1
357	в той	5	1
358	нас к	2	1
359	и культур	1	1
360	приблизиться к	1	1
361	так как	7	1
362	к такой	2	1
363	мира не	2	1
364	к вере	1	1
365	должны быть	1	1
366	в более	1	1
367	сельского хозяйства	4	1
368	и имеет	2	1
369	из их	1	1
370	если взять	1	1
371	в силах	1	1
372	на большей	1	1
373	которая в	1	1
374	а к	1	1
375	римской империи	1	1
376	но также	2	1
377	особого рода	1	1
378	или иная	1	1
379	они являются	1	1
380	к этой	1	1
381	народа должно	1	1
382	к ней	4	1
383	культурах и	1	1
384	более всего	1	1
385	моря и	3	1
386	и его	1	1
387	а также	7	1
388	так называемый	1	1
389	потребность в	3	1
390	все более	9	1
391	речи о	1	1
392	или к	1	1
393	в области	11	1
394	только одна	1	1
395	нет ничего	1	1
396	в каком	4	1
397	та или	1	1
398	в свою	3	1
399	всего мира	1	1
400	россия в	11	1
401	того же	3	1
402	есть только	1	1
403	во все	3	1
404	оставить в	2	1
405	ли он	1	1
406	числе и	1	1
407	национального существования	1	1
408	такое разнообразие	1	1
409	во всяком	3	1
410	случае если	1	1
411	оно не	1	1
412	который не	1	1
413	но сама	1	1
414	как на	3	1
415	все что	1	1
416	том числе	1	1
